baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_092170A	89.6407937720168	-2.07368449496685	0.462664398919315	-4.48204897504657	7.39297713019718e-06	0.000345763853473838	24	36	230	134	31.442556017024	37.2464091288233	148.538957810963	141.335252131257	99.97	UP_pEhEx_DOWN_CDC5
EHI_092430A	6563.79686536939	-1.36227621470192	0.330881406419768	-4.11711322628291	3.83647617796315e-05	0.00134571779780861	2451	4002	11807	10693	3211.07103323858	4140.55914815419	7625.215108148	11278.3421719368	99.87	UP_pEhEx_DOWN_CDC5
EHI_092470A	10001.6445711984	-1.39453934157549	0.310788618981053	-4.48709912913674	7.21994867607171e-06	0.000345763853473838	4043	5535	18512	16144	5296.76058236783	5726.63540355658	11955.4486391154	17027.7336597538	99.97	UP_pEhEx_DOWN_CDC5
EHI_092930A	362.961601149988	-2.17915202423881	0.398097452212941	-5.47391602765944	4.40197717794318e-08	3.56853616558594e-06	71	163	814	630	93.0175615503627	168.643463555506	525.698746339669	664.486633154417	100	UP_pEhEx_DOWN_CDC5
EHI_094020A	146.532054023667	-10.4212470340608	1.51689878422552	-6.87010045919546	6.41567079029836e-12	2.34043670430084e-09	0	0	594	192	0	0	383.618004085704	202.510212008965	100	UP_pEhEx_DOWN_CDC5
EHI_095830A	168.09047973719	-2.44453377561619	0.42609443043677	-5.73707047311181	9.63281821423577e-09	9.76125579042558e-07	31	61	384	304	40.6133015219893	63.1119710238395	247.995477388738	320.641169014195	100	UP_pEhEx_DOWN_CDC5
EHI_097930A	56.3914276326324	-2.21975301389806	0.590546675938078	-3.75881044520655	0.000170723114868182	0.00451302842781977	17	17	103	113	22.2718105120587	17.588582088611	66.5196202370834	119.185697692776	99.55	UP_pEhEx_DOWN_CDC5
EHI_098440A	991.143962861452	1.49592238329026	0.302480123792825	4.94552291414309	7.59397366594634e-07	4.60947433369991e-05	1090	1448	726	540	1428.01608577317	1498.13334495934	468.866449438083	569.559971275214	100	DOWN_pEhEx_UP_CDC5
EHI_098800A	369.842843576644	-1.35268801059317	0.349272548267349	-3.87287239522119	0.000107560149641354	0.00316260966708747	170	187	699	580	222.718105120587	193.474402974721	451.429267434187	611.749598777082	99.68	UP_pEhEx_DOWN_CDC5
EHI_099860A	65.0555008083992	-4.14859238737723	0.69921129974567	-5.93324562816166	2.97004001432611e-09	3.8695378472363e-07	5	7	117	162	6.55053250354667	7.24235733060453	75.5611220168811	170.867991382564	100	UP_pEhEx_DOWN_CDC5
