pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_176150A	356.272650430702	55.4438257505555	0.782900543385604	0.954912080535871	2.68388302275115	30	27	114	78	59	1103	42.1767736632197	33.5361757551161	88.5348465386988	66.7125421371875	77.7852193747067	885.83969751011	95.49	UP_pEhEx_DOWN_CmasM
EHI_105860A	360.765724011594	49.1854786196962	0.75289459818127	0.954665517141362	2.87475792972477	32	10	113	36	9	1237	44.988558574101	12.4208058352282	87.758225077833	30.7904040633173	11.8655419385146	993.457575539443	95.47	UP_pEhEx_DOWN_CmasM
EHI_062790A	489.232999275343	110.050997742861	0.75341786539625	0.954664078529069	2.15234949339947	62	51	226	189	148	1331	87.1653322373207	63.3461097596638	175.516450155666	161.649621332416	195.122245211129	1068.95071385853	95.47	UP_pEhEx_DOWN_CmasM
EHI_006810A	1313.90948557225	422.596483214943	0.846077513847922	0.954629178183673	1.63651322615489	265	242	752	699	599	3077	372.561500691774	300.583501212522	584.019338571066	597.847012229411	789.717735685581	2471.19560221089	95.46	UP_pEhEx_DOWN_CmasM
EHI_180390A	121.25534337286	12.9592745603629	0.757637210070478	0.954607940761116	3.22599145829014	7	18	9	19	266	9	9.8412471880846	22.3574505034108	6.98959314779201	16.2504910334175	350.692683960542	7.22806643480597	95.46	UP_pEhEx_DOWN_CmasM
EHI_093910A	147.86798029993	25.0027533849352	0.758877728109268	0.954582017934892	2.56415079844319	13	19	42	32	68	392	18.2766019207285	23.5995310869336	32.6181013563627	27.3692480562821	89.6507613132212	314.822449160438	95.46	UP_pEhEx_DOWN_CmasM
EHI_069560A	1427.58140960234	469.172473564776	0.759330644548028	0.954571948173582	1.60538274163109	323	234	838	563	513	3749	454.103263107332	290.64685654434	650.808784205523	481.527707990212	676.335890495331	3010.89122934307	95.46	UP_pEhEx_DOWN_CmasM
EHI_073360A	253.271621987344	37.6875913870285	0.747202448632877	0.954561089595152	2.74852393777699	30	25	51	46	16	833	42.1767736632197	31.0520145880705	39.6076945041547	39.3432940809055	21.0942967795815	668.997704465931	95.46	UP_pEhEx_DOWN_CmasM
EHI_067090A	389.036337799169	52.5140343900368	0.759909240691104	0.954559027415639	2.88912997585149	29	11	129	23	24	1328	40.770881207779	13.662886418751	100.184168451685	19.6716470404527	31.6414451693722	1066.54135838026	95.46	UP_pEhEx_DOWN_CmasM
EHI_054490A	415.044424226638	63.5210251440332	0.760438770529893	0.954547075777768	2.70795966246092	54	23	109	54	14	1405	75.9181925937955	28.5678534210249	84.6517392343699	46.185606094976	18.4575096821338	1128.38148232249	95.45	UP_pEhEx_DOWN_CmasM
EHI_112800A	369.226587044823	110.047262562367	0.760904074859337	0.954536500365258	1.7463831829566	47	109	164	250	225	725	66.0769454057109	135.386783603987	127.365919581988	213.822250439704	296.638548462864	582.260907248259	95.45	UP_pEhEx_DOWN_CmasM
EHI_129370A	281.954493142673	36.1560418812596	0.761550730467625	0.954521733069082	2.96315367847024	25	13	72	29	5	969	35.1473113860164	16.1470475857967	55.9167451823361	24.8033810510056	6.59196774361921	778.221819480777	95.45	UP_pEhEx_DOWN_CmasM
EHI_156310A	843.024717690063	262.634926525336	0.847287913036936	0.954500842027389	1.68251614606066	116	176	512	266	968	1269	163.083524831116	218.606182700016	397.630187963279	227.506874467845	1276.20495516468	1019.15736730764	95.45	UP_pEhEx_DOWN_CmasM
EHI_155680A	567.972560847292	182.706836599401	0.763827672297337	0.954474385318889	1.63629061547377	27	276	216	550	623	529	37.9590962968977	342.814241052298	167.750235547008	470.408950967348	821.359180854953	424.84968266804	95.45	UP_pEhEx_DOWN_CmasM
EHI_005960A	164.878326945552	24.3750649570971	0.773846679017484	0.954468953508971	2.75792380212221	14	15	44	36	52	473	19.6824943761692	18.6312087528423	34.1713442780943	30.7904040633173	68.5564645336398	379.875047073692	95.45	UP_pEhEx_DOWN_CmasM
EHI_006960A	24.792749960182	7.42987894427744	0.773622592963017	0.954464215573423	1.73850769092784	5	6	10	25	22	30	7.02946227720328	7.45248350113692	7.76621460865779	21.3822250439704	29.0046580719245	24.0935547826866	95.45	UP_pEhEx_DOWN_CmasM
EHI_069590A	2805.80349844767	1043.58262280719	0.773335522102889	0.954458159558863	1.42686914837374	643	770	1616	1382	821	7378	903.988848848342	956.402049312571	1255.0202807591	1182.00940043068	1082.40110350227	5925.40823955539	95.45	UP_pEhEx_DOWN_CmasM
EHI_198610A	1769.77043466857	807.554414767711	0.764729880254258	0.954457236210884	1.13193085350145	604	606	1053	1082	1001	3709	849.159043086157	752.700833614829	817.782398291665	925.422699903037	1319.71194227257	2978.76648963282	95.45	UP_pEhEx_DOWN_CmasM
EHI_087570A	7621.90012552044	2831.45757863582	1.40162872366397	0.954444393884045	1.42860578845449	683	2910	4961	5229	6267	12431	960.224547065969	3614.45449805141	3852.81906735513	4472.30619019684	8262.37236985232	9983.56598345256	95.44	UP_pEhEx_DOWN_CmasM
EHI_138790A	139.223406354416	17.4230924001822	0.766483744713349	0.954432745974558	2.99832916497175	8	8	39	38	28	416	11.2471396435253	9.93664466818256	30.2882369737654	32.500982066835	36.9150193642676	334.097292986587	95.44	UP_pEhEx_DOWN_CmasM
EHI_178620A	274.074234206184	47.7938392546079	0.767243036529585	0.954425602270593	2.51967013807752	33	20	91	59	99	768	46.3944510295417	24.8416116704564	70.6725529387859	50.4620511037701	130.52096132366	616.795002436776	95.44	UP_pEhEx_DOWN_CmasM
EHI_044610A	66.0703840165737	9.52143167334239	0.743940346442992	0.954368484512959	2.79475330676041	4	5	21	19	32	168	5.62356982176263	6.2104029176141	16.3090506781814	16.2504910334175	42.1885935591629	134.923906783045	95.44	UP_pEhEx_DOWN_CmasM
EHI_137720A	3061.04996004943	866.757078919646	0.949400529833747	0.954283600502394	1.82032697232062	726	458	1288	1266	1121	7948	1020.67792264992	568.872907253451	1000.28844159512	1082.79587622666	1477.91916811943	6383.18578042643	95.43	UP_pEhEx_DOWN_CmasM
EHI_118670A	222.792561852276	44.9000152007897	0.853330496022954	0.953850088582856	2.31091322919606	9	48	79	138	182	380	12.6530320989659	59.6198680090953	61.3530954083965	118.029882242716	239.947625867739	305.185027247363	95.39	UP_pEhEx_DOWN_CmasM
EHI_049360A	103.34060934683	10.6636107842229	0.738135241549394	0.953720768642477	3.2766393616787	10	3	18	5	3	359	14.0589245544066	3.72624175056846	13.979186295584	4.27644500879407	3.95518064617152	288.319538899483	95.37	UP_pEhEx_DOWN_CmasM
EHI_040820A	199.651788681384	23.8065598191956	0.737719936915974	0.953655096339315	3.06805493384639	14	5	57	33	4	673	19.6824943761692	6.2104029176141	44.2674232693494	28.2245370580409	5.27357419489537	540.498745624936	95.37	UP_pEhEx_DOWN_CmasM
EHI_031240A	446.501469064089	99.6419163841969	0.855070706155854	0.953654635034938	2.1638402481657	62	77	148	191	226	1058	87.1653322373207	95.6402049312571	114.939976208135	163.360199335934	297.956942011588	849.69936533608	95.37	UP_pEhEx_DOWN_CmasM
EHI_062500A	218.741097158906	55.5031723736129	0.737554688881022	0.953629027589436	1.97858216143319	21	38	113	157	137	415	29.5237415642538	47.1990621738671	87.758225077833	134.280373276134	180.619916175166	333.294174493831	95.36	UP_pEhEx_DOWN_CmasM
EHI_048170A	1779.74612321926	200.154892839971	0.947610403438911	0.953502315105231	3.15248267033057	102	13	550	145	24	6166	143.401030454947	16.1470475857967	427.141803476178	124.016905255028	31.6414451693722	4952.02862633485	95.35	UP_pEhEx_DOWN_CmasM
EHI_197020A	407.621625070312	46.9022273862774	0.857657641260367	0.95335166185678	3.11950224808374	27	16	104	60	40	1333	37.9590962968977	19.8732893363651	80.768631930041	51.3173401055289	52.7357419489537	1070.55695084404	95.34	UP_pEhEx_DOWN_CmasM
EHI_193470A	82.6002102962086	5.15739475173651	0.859900707052177	0.953071764140138	4.00143107460139	0	8	7	13	5	274	0.702946227720328	9.93664466818256	5.43635022606045	11.1187570228646	6.59196774361921	220.054467015204	95.31	UP_pEhEx_DOWN_CmasM
