pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_035510A	258.92475260283	59.7672264061629	0.736164693081624	0.944864340465766	2.11510639125771	33	37	101	168	119	612	52.9733033951994	49.0796305004887	84.999957146394	136.99127022276	150.764044807577	440.897166342383	94.49	UP_pEhEx_DOWN_CDC5
EHI_127200A	12333.4618453623	7545.78620005064	0.75878502808594	0.944816583600907	0.708834673702797	6240	8801	1622	11282	9285	20071	10016.7700965468	11674.3196766163	1365.04881674704	9199.61613484032	11763.3962692298	14459.5539634934	94.48	UP_pEhEx_DOWN_CDC5
EHI_054480A	704.156057874439	135.818718428327	0.735851532792753	0.944800917966197	2.37421287575379	94	73	208	153	43	2420	150.893652095416	96.8327845009643	175.049416697524	124.759906810013	54.4777640901328	1743.41689958916	94.48	UP_pEhEx_DOWN_CDC5
EHI_135470A	1363.68985358023	543.25235260594	0.73229536732204	0.944013693686664	1.32782114469692	415	522	372	980	654	3082	666.179421485083	692.420733006895	313.069149093649	799.115742966098	828.568784068531	2220.33507625363	94.4	UP_pEhEx_DOWN_CDC5
EHI_176820A	3286.67143611967	1156.29491841506	0.762231529955127	0.9439386654347	1.5071178285752	371	333	3143	1125	1655	8582	595.548350291484	441.716674504399	2645.09767634769	917.35225595598	2096.76045509697	6182.64621168354	94.39	UP_pEhEx_DOWN_CDC5
EHI_058090A	6150.28982447565	2749.43065740451	0.73161256802569	0.943847429730146	1.16152149593349	841	862	7444	3209	3393	14453	1350.01661076857	1143.42274301139	6264.74931680947	2616.69634610021	4298.67566413536	10412.2332437034	94.38	UP_pEhEx_DOWN_CDC5
EHI_140010A	48.5950262763384	8.2484586055344	0.731321403165855	0.94377692354145	2.55861220851509	7	5	9	29	22	118	11.2367613262544	6.63238250006605	7.57425360710441	23.6473025979764	27.8723444182075	85.0095843601326	94.38	UP_pEhEx_DOWN_CDC5
EHI_130930A	14940.8087831544	9693.21122944681	0.730159816932646	0.943483682070926	0.624211651669276	6837	6959	11699	11065	9757	29349	10975.1053125145	9230.94996359192	9845.68810550161	9022.66907746926	12361.384749475	21143.6126388604	94.35	UP_pEhEx_DOWN_CDC5
EHI_200080A	2174.46409782703	826.143549351442	1.02656340871169	0.943328228916017	1.39619550006005	638	1025	171	1930	1741	3436	1024.15053230719	1359.63841251354	143.910818534984	1573.7687591067	2205.71598327724	2475.36382933403	94.33	UP_pEhEx_DOWN_CDC5
EHI_044970A	15758.3124588644	9360.67707492388	0.765534035941696	0.942927730261597	0.7514282548978	6938	12345	1343	15247	16859	16922	11137.2357259362	16375.3523926631	1130.2469549268	12432.773196943	21359.0842975709	12190.9507334082	94.29	UP_pEhEx_DOWN_CDC5
EHI_073180A	444.555654053066	157.550607646169	0.726309653166901	0.942454033428513	1.49654872317976	75	88	307	540	405	475	120.393871352726	116.729932001162	258.366206375673	440.32908285887	513.104522244274	342.199598059856	94.25	UP_pEhEx_DOWN_CDC5
EHI_010020A	1731.18718444598	368.720555365533	1.02206450951884	0.942431701717695	2.23116197351604	96	128	1013	610	1264	3885	154.104155331489	169.788992001691	852.524322666308	497.40877878502	1601.39287930065	2798.8325020264	94.24	UP_pEhEx_DOWN_CDC5
EHI_197160A	1620.72768657911	774.550722529048	0.72454394792014	0.94196283899095	1.06521008659649	393	670	1068	1283	2098	1462	630.863885888283	888.73925500885	898.811428043057	1046.18928390357	2658.00811769997	1053.25434181791	94.2	UP_pEhEx_DOWN_CDC5
EHI_004490A	3378.34155252759	900.844732055358	0.724252827664258	0.941880451448399	1.9069648206107	286	257	2459	408	535	11430	459.101962758395	340.904460503395	2069.45440220775	332.693084826702	677.804739260954	8234.4029596298	94.19	UP_pEhEx_DOWN_CDC5
EHI_031240A	428.77137153032	51.8533872304639	1.01405855177343	0.941680237138436	3.04769844354315	42	55	22	191	226	1058	67.4205679575265	72.9562075007265	18.5148421506997	155.746027455637	286.324992659768	762.204578415426	94.17	UP_pEhEx_DOWN_CDC5
EHI_096320A	156.824810371408	17.5951702051127	0.769510958866683	0.941554382427583	3.155902443146	11	17	17	32	16	531	17.6577677983998	22.5501005002246	14.3069234800861	26.0935752805256	20.2707959405145	382.543129620597	94.16	UP_pEhEx_DOWN_CDC5
EHI_006810A	1262.05243652929	285.243544119973	1.01002303685425	0.941510383303354	2.14550571387793	196	231	312	699	599	3077	314.629317135123	306.416071503051	262.574125046286	569.981535033982	758.887923023012	2216.73297522142	94.15	UP_pEhEx_DOWN_CDC5
EHI_069450A	18298.4426503371	11833.7931701768	0.722769212878938	0.9414610089517	0.628808283241784	9249	14957	1767	22082	14605	22952	14846.9722152181	19840.1090106976	1487.07845819483	18006.1977920177	18503.4359194509	16535.0845782522	94.15	UP_pEhEx_DOWN_CDC5
EHI_148320A	23669.9408397106	13156.2526758425	1.00590498839711	0.941276760952645	0.847307478619073	10235	16344	2532	23953	22797	28308	16429.750310602	21679.9319162159	2130.89001479871	19531.856521701	28882.0834409943	20393.6552039545	94.13	UP_pEhEx_DOWN_CDC5
EHI_057670A	48082.1659766433	24421.8687934227	0.722119873417324	0.941276745097405	0.977328285710304	20403	20275	18321	23758	22533	120650	32751.9487627955	26894.3110377678	15418.6555928622	19372.8487973353	28547.6153079759	86918.6979072034	94.13	UP_pEhEx_DOWN_CDC5
EHI_000730A	1335.4131741771	355.290762940063	1.00391193425065	0.941083534504991	1.91021409172448	260	412	151	916	835	2757	417.36542068945	546.508318005442	127.07914385253	746.928592405046	1057.8821631456	1986.19850916005	94.11	UP_pEhEx_DOWN_CDC5
