baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,UmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,UmasM_1.1,UmasM_2.1,UmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_002150A,24.71012064,0.374786838,0.630436695,0.594487664,0.55218599,0.999887746,23,39,19,36,20,20,27.59774868,26.4307084,29.66061429,26.70328928,23.50511017,14.363253,0.01,DOWN_pEhEx_UP_UmasM
EHI_002160A,1248.951872,-0.329891588,0.626739723,-0.526361383,0.598637141,0.999887746,1346,1325,517,1930,1532,1311,1615.068249,897.9663752,807.0809256,1431.593008,1800.491439,941.5112343,0.01,UP_pEhEx_DOWN_UmasM
EHI_002180A,438.3930493,0.226944111,0.839354677,0.270379277,0.786868481,0.999887746,740,573,91,784,300,387,887.9275662,388.3281004,142.0587316,581.5382998,352.5766525,277.9289456,0.01,DOWN_pEhEx_UP_UmasM
EHI_002190A,186.2021372,0.013226333,1.349599487,0.009800191,0.992180704,0.999887746,273,305,17,185,353,6,327.5732778,206.7016939,26.53844436,137.2252366,414.8651944,4.308975901,0.01,DOWN_pEhEx_UP_UmasM
EHI_002200A,127.9313884,0.240564657,1.247369705,0.192857543,0.847070536,0.999887746,227,202,4,253,124,26,272.3777804,136.8975153,6.24433985,187.664783,145.731683,18.6722289,0.01,DOWN_pEhEx_UP_UmasM
EHI_002210A,19.58743198,0.074901731,0.698998131,0.107155839,0.914665349,0.999887746,15,43,8,27,20,20,17.99853175,29.14155029,12.4886797,20.02746696,23.50511017,14.363253,0.01,DOWN_pEhEx_UP_UmasM
EHI_002670A,623.9757662,0.946813253,1.083797512,0.873607148,0.382332232,0.999887746,112,406,1317,352,282,955,134.389037,275.1504516,2055.948896,261.0988285,331.4220533,685.8453309,0.01,DOWN_pEhEx_UP_UmasM
EHI_002790A,53.56657435,0.00706782,0.737270019,0.009586474,0.992351218,0.999887746,25,56,60,48,47,96,29.99755291,37.95178642,93.66509775,35.6043857,55.23700889,68.94361441,0.01,DOWN_pEhEx_UP_UmasM
EHI_002990A,41.04081498,0.064191357,0.902391525,0.071134707,0.943290546,0.999887746,44,91,7,83,37,22,52.79569313,61.67165294,10.92759474,61.56591694,43.48445381,15.7995783,0.01,DOWN_pEhEx_UP_UmasM
EHI_003000A,86.59325658,0.221139286,0.576947969,0.383291557,0.701503598,0.999887746,100,98,60,100,60,132,119.9902117,66.41562624,93.66509775,74.17580354,70.5153305,94.79746982,0.01,DOWN_pEhEx_UP_UmasM
