"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
"46","EHI_001150A",50.80284713,0.383245166,0.784144549,0.488743009,0.625023651,0.999772996,80,74,6,115,47,36,80.84061991,76.58823544,14.14560238,68.29900268,44.3085199,20.63510246,0.02,"DOWN_pEhEx_UP_U2AF84"
"47","EHI_001400A",1515.914237,-0.121690348,0.515624619,-0.236005698,0.813428249,0.999772996,1849,1691,312,2391,1910,2653,1868.428828,1750.144677,735.5713236,1420.025351,1800.62283,1520.692412,0.02,"UP_pEhEx_DOWN_U2AF84"
"48","EHI_001410A",16.65442266,0.119937542,0.611861225,0.196020824,0.844593867,0.999772996,22,21,3,35,14,26,22.23117048,21.73449925,7.072801188,20.78665299,13.19828252,14.90312955,0.02,"DOWN_pEhEx_UP_U2AF84"
"49","EHI_001420A",6259.207506,-0.223625932,0.802909827,-0.278519361,0.780613705,0.999772996,6990,8827,477,12112,10697,5153,7063.449165,9135.734517,1124.575389,7193.369743,10084.43058,2953.685638,0.02,"UP_pEhEx_DOWN_U2AF84"
"50","EHI_001430A",7.505622701,-0.099749711,0.877045201,-0.113733832,0.909448793,0.999772996,7,9,2,12,16,3,7.073554242,9.314785391,4.715200792,7.126852453,15.08375146,1.719591872,0.02,"UP_pEhEx_DOWN_U2AF84"
"51","EHI_001635A",217.904581,0.474688518,1.459516645,0.325236797,0.745001861,0.999772996,286,455,0,548,210,42,289.0052162,470.9141503,0,325.4595954,197.9742378,24.0742862,0.02,"DOWN_pEhEx_UP_U2AF84"
"52","EHI_001780A",8389.886142,0.174420009,0.919447126,0.189700968,0.849543463,0.999772996,4841,3112,7880,6330,2494,30597,4891.868012,3220.845793,18577.89112,3759.414669,2351.179758,17538.1175,0.02,"DOWN_pEhEx_UP_U2AF84"
"53","EHI_001800A",21.94467185,1.361712202,1.251536779,1.08803211,0.276580932,0.999772996,7,8,34,12,1,49,7.073554242,8.279809237,80.15841346,7.126852453,0.942734466,28.08666723,0.02,"DOWN_pEhEx_UP_U2AF84"
"54","EHI_001810A",374.7235071,-0.117493433,0.596922439,-0.196831992,0.843959014,0.999772996,472,427,67,847,447,431,476.9596575,441.934818,157.9592265,503.0370023,421.4023063,247.0480322,0.02,"UP_pEhEx_DOWN_U2AF84"
"55","EHI_001820A",12.46206389,-1.996984458,1.184605196,-1.685780599,0.091838066,0.999772996,14,0,0,34,21,36,14.14710848,0,0,20.19274862,19.79742378,20.63510246,0.02,"UP_pEhEx_DOWN_U2AF84"
"56","EHI_001830A",35.18824264,-0.870525758,0.563594989,-1.544594568,0.122444361,0.999772996,29,31,5,70,39,104,29.30472472,32.08426079,11.78800198,41.57330598,36.76664417,59.61251821,0.02,"UP_pEhEx_DOWN_U2AF84"
"57","EHI_001840A",217.3742465,0.944320956,0.858940279,1.099402344,0.271592609,0.999772996,90,107,279,167,124,399,90.9456974,110.7424485,657.7705105,99.18202998,116.8990738,228.7057189,0.02,"DOWN_pEhEx_UP_U2AF84"
"58","EHI_001850A",178.052042,-0.225120243,0.554306754,-0.406129353,0.684647559,0.999772996,131,133,95,235,131,543,132.3765151,137.6518286,223.9720376,139.5675272,123.498215,311.2461287,0.02,"UP_pEhEx_DOWN_U2AF84"
"59","EHI_001860A",13.05012021,0.880136253,1.625773247,0.541364704,0.58825623,0.999772996,11,0,17,8,0,39,11.11558524,0,40.07920673,4.751234969,0,22.35469433,0.02,"DOWN_pEhEx_UP_U2AF84"
"60","EHI_001870A",12.57443326,0.878746386,0.962514522,0.912969483,0.361258592,0.999772996,6,6,16,13,3,26,6.063046493,6.209856928,37.72160634,7.720756824,2.828203398,14.90312955,0.02,"DOWN_pEhEx_UP_U2AF84"
"61","EHI_001910A",29.91740748,0.958390321,0.87508346,1.09519876,0.273429569,0.999772996,28,13,33,22,9,67,28.29421697,13.45469001,77.80081307,13.06589616,8.484610194,38.40421846,0.02,"DOWN_pEhEx_UP_U2AF84"
"62","EHI_001920A",9.96272191,0.813286887,0.840673043,0.967423535,0.333332349,0.999772996,7,6,11,8,4,21,7.073554242,6.209856928,25.93360436,4.751234969,3.770937864,12.0371431,0.02,"DOWN_pEhEx_UP_U2AF84"
"63","EHI_001940A",2265.938825,1.325960631,1.14245986,1.160619009,0.245796872,0.999772996,336,489,3764,1316,1251,3341,339.5306036,506.1033396,8874.007891,781.5781524,1179.360817,1915.052148,0.02,"DOWN_pEhEx_UP_U2AF84"
"64","EHI_001950A",144.7111348,-0.261105737,1.058763964,-0.246613737,0.805207173,0.999772996,167,204,6,338,267,38,168.7547941,211.1351355,14.14560238,200.7396774,251.7101024,21.78149704,0.02,"UP_pEhEx_DOWN_U2AF84"
"65","EHI_001990A",34.39218417,-0.144002971,0.862218414,-0.167014492,0.867358646,0.999772996,27,17,23,54,8,118,27.28370922,17.59459463,54.22480911,32.07083604,7.541875728,67.63728028,0.02,"UP_pEhEx_DOWN_U2AF84"
"66","EHI_002110A",99.18781337,0.476365904,0.69347352,0.686927316,0.492128532,0.999772996,134,146,25,227,89,54,135.4080384,151.1065186,58.9400099,134.8162922,83.90336747,30.95265369,0.02,"DOWN_pEhEx_UP_U2AF84"
"67","EHI_002130A",97.78112311,-0.168343407,0.622915981,-0.270250583,0.78696748,0.999772996,116,118,15,227,118,115,117.2188989,122.1271862,35.36400594,134.8162922,111.242667,65.91768841,0.02,"UP_pEhEx_DOWN_U2AF84"
"68","EHI_002140A",353.2166871,0.482595545,0.623023848,0.774602042,0.43857485,0.999772996,275,250,297,359,232,786,277.8896309,258.7440387,700.2073176,213.2116692,218.7143961,450.5330703,0.02,"DOWN_pEhEx_UP_U2AF84"
"69","EHI_002150A",25.19389312,0.90241646,0.643702129,1.401916227,0.160940264,0.999772996,24,18,24,36,20,20,24.25218597,18.62957078,56.5824095,21.38055736,18.85468932,11.46394581,0.02,"DOWN_pEhEx_UP_U2AF84"
"70","EHI_002160A",1053.231824,-0.165367147,0.791907123,-0.208821392,0.834587671,0.999772996,1414,1314,80,1930,1532,1311,1428.857957,1359.958667,188.6080317,1146.235436,1444.269202,751.4616479,0.02,"UP_pEhEx_DOWN_U2AF84"
"71","EHI_002180A",370.0466581,0.368136982,0.787161911,0.467676316,0.640016081,0.999772996,621,524,34,784,300,387,627.5253121,542.327505,80.15841346,465.621027,282.8203398,221.8273514,0.02,"DOWN_pEhEx_UP_U2AF84"
"72","EHI_002190A",152.1228152,0.067838462,1.171529577,0.05790589,0.953823592,0.999772996,88,267,43,185,353,6,88.9246819,276.3386333,101.376817,109.8723087,332.7852665,3.439183743,0.02,"DOWN_pEhEx_UP_U2AF84"
"73","EHI_002200A",129.5151382,0.815966397,1.146900995,0.711453212,0.476803434,0.999772996,234,243,3,253,124,26,236.4588132,251.4992056,7.072801188,150.2578059,116.8990738,14.90312955,0.02,"DOWN_pEhEx_UP_U2AF84"
"74","EHI_002210A",16.09925102,0.131708386,0.534775157,0.246287406,0.805459758,0.999772996,17,16,7,27,20,20,17.17863173,16.55961847,16.50320277,16.03541802,18.85468932,11.46394581,0.02,"DOWN_pEhEx_UP_U2AF84"
"75","EHI_002790A",45.68016683,0.160621148,0.627437483,0.255995461,0.797954342,0.999772996,30,30,36,48,47,96,30.31523247,31.04928464,84.87361426,28.50740981,44.3085199,55.02693989,0.02,"DOWN_pEhEx_UP_U2AF84"
"76","EHI_002990A",34.23790962,0.190198398,0.710560402,0.267673793,0.788950424,0.999772996,53,35,8,83,37,22,53.55691069,36.22416541,18.86080317,49.2940628,34.88117524,12.61034039,0.02,"DOWN_pEhEx_UP_U2AF84"
"77","EHI_003000A",63.51491405,0.003123237,0.463562653,0.006737466,0.994624321,0.999772996,70,76,17,100,60,132,70.73554242,78.65818775,40.07920673,59.39043711,56.56406796,75.66204235,0.02,"DOWN_pEhEx_UP_U2AF84"
"78","EHI_003010A",697.5470774,-0.471825981,0.465614902,-1.01333952,0.310898017,0.999772996,599,743,160,1226,1076,1206,605.2941416,768.9872829,377.2160634,728.126759,1014.382285,691.2759324,0.02,"UP_pEhEx_DOWN_U2AF84"
"79","EHI_003020A",28.99564924,1.451659153,1.246463589,1.164622189,0.244171958,0.999772996,5,5,50,14,7,54,5.052538744,5.174880773,117.8800198,8.314661196,6.599141262,30.95265369,0.02,"DOWN_pEhEx_UP_U2AF84"
"80","EHI_003040A",13.29369625,-0.412924479,0.644061889,-0.641125467,0.521441169,0.999772996,13,13,3,19,12,41,13.13660074,13.45469001,7.072801188,11.28418305,11.31281359,23.50108891,0.02,"UP_pEhEx_DOWN_U2AF84"
