baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,CmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,CmasM_1.1,CmasM_2.1,CmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_068610A,129.2390837,1.687302552,0.585584886,2.881397032,0.003959166,0.376328991,220,142,192,96,69,35,284.8923156,162.8881128,143.6243866,73.2505548,83.65449128,27.12464087,62.37,DOWN_pEhEx_UP_CmasM
EHI_006960A,14.97261041,-1.710929616,0.5996132,-2.853388844,0.004325566,0.378886026,5,6,10,25,22,30,6.474825355,6.882596314,7.480436802,19.07566531,26.67244649,23.24969217,62.11,UP_pEhEx_DOWN_CmasM
EHI_009940A,241.7129155,-2.941207633,1.030300833,-2.854707614,0.004307647,0.378886026,28,25,136,72,146,1357,36.25902199,28.67748464,101.7339405,54.9379161,177.008054,1051.661076,62.11,UP_pEhEx_DOWN_CmasM
EHI_032780A,53.30944329,-2.064202156,0.7219813,-2.859079807,0.004248719,0.378886026,4,26,35,63,97,120,5.179860284,29.82458403,26.18152881,48.07067659,117.6012414,92.99876869,62.11,UP_pEhEx_DOWN_CmasM
EHI_093910A,80.11703425,-2.546354599,0.894564543,-2.846473873,0.004420636,0.378886026,13,19,42,32,68,392,16.83454592,21.79488833,31.41783457,24.4168516,82.44210735,303.7959777,62.11,UP_pEhEx_DOWN_CmasM
EHI_176820A,1926.952797,-2.217308159,0.779767006,-2.843552165,0.004461371,0.378886026,389,464,1350,1125,1655,8582,503.7414126,532.254115,1009.858968,858.404939,2006.495407,6650.961941,62.11,UP_pEhEx_DOWN_CmasM
EHI_030150A,13.06410451,2.402650975,0.857038231,2.803435001,0.005056142,0.421590335,14,17,37,5,7,1,18.12951099,19.50068956,27.67761617,3.815133062,8.486687521,0.774989739,57.84,DOWN_pEhEx_UP_CmasM
EHI_098800A,472.5434409,-0.871014708,0.315459142,-2.76110149,0.005760677,0.429391623,216,299,506,699,580,771,279.7124554,342.9827163,378.5101022,533.3556021,703.1826803,597.5170888,57.06,UP_pEhEx_DOWN_CmasM
EHI_118270A,35752.64163,-2.13387296,0.773537369,-2.758590658,0.00580512,0.429391623,3177,12339,28792,25137,58145,109725,4114.104031,14154.05932,21537.67364,19180.19996,70494.0637,85035.74912,57.06,UP_pEhEx_DOWN_CmasM
EHI_134810A,727.5937671,-1.381845278,0.497347494,-2.778430162,0.005462225,0.429391623,149,483,619,1181,923,1465,192.9497956,554.0490033,463.039038,901.1344293,1119.030369,1135.359968,57.06,UP_pEhEx_DOWN_CmasM
EHI_140010A,28.87452008,-2.099623906,0.754814532,-2.781642134,0.005408464,0.429391623,10,9,13,29,22,118,12.94965071,10.32389447,9.724567842,22.12777176,26.67244649,91.44878921,57.06,UP_pEhEx_DOWN_CmasM
EHI_172160A,146.1378889,-1.192326369,0.431605571,-2.762537022,0.005735406,0.429391623,67,91,102,230,122,369,86.76265976,104.3860441,76.30045538,175.4961209,147.9108397,285.9712137,57.06,UP_pEhEx_DOWN_CmasM
EHI_188880A,52.7008938,-2.051696118,0.743711438,-2.758726049,0.005802716,0.429391623,6,12,52,68,110,91,7.769790426,13.76519263,38.89827137,51.88580965,133.3622325,70.52406626,57.06,UP_pEhEx_DOWN_CmasM
EHI_198550A,64.17416064,-1.501142091,0.541206531,-2.773695444,0.005542354,0.429391623,26,35,36,65,83,173,33.66909185,40.1484785,26.92957249,49.59672981,100.6278663,134.0732249,57.06,UP_pEhEx_DOWN_CmasM
EHI_069950A,71.02850233,-2.045816297,0.746708598,-2.739778679,0.006148057,0.429700296,9,28,52,66,66,275,11.65468564,32.1187828,38.89827137,50.35975642,80.01733948,213.1221782,57.03,UP_pEhEx_DOWN_CmasM
EHI_148470A,541.7045715,-1.353265456,0.494278993,-2.737857515,0.006184086,0.429700296,183,246,527,564,909,1038,236.978608,282.1864489,394.2190195,430.3470094,1102.056994,804.4393492,57.03,UP_pEhEx_DOWN_CmasM
EHI_156690A,44621.72221,0.97469726,0.354047136,2.753015521,0.00590491,0.429700296,52002,47186,74825,46465,27579,27613,67340.77363,54127.03161,55972.36837,35454.03155,33436.33645,21399.79167,57.03,DOWN_pEhEx_UP_CmasM
EHI_177450A,28.51232023,-2.680359432,0.976677251,-2.74436558,0.006062798,0.429700296,8,4,11,24,11,150,10.35972057,4.588397543,8.228480482,18.3126387,13.33622325,116.2484609,57.03,UP_pEhEx_DOWN_CmasM
EHI_049660A,123.1954799,-1.484709806,0.544918726,-2.724644494,0.006437076,0.440603419,32,58,115,137,141,348,41.43888227,66.53176437,86.02502322,104.5346459,170.9461344,269.6964292,55.94,UP_pEhEx_DOWN_CmasM
EHI_039020A,656.2498026,-2.651985916,0.97559217,-2.718334565,0.006561146,0.442491388,26,138,465,248,1359,2014,33.66909185,158.2997152,347.8403113,189.2305999,1647.629763,1560.829335,55.75,UP_pEhEx_DOWN_CmasM
EHI_068170A,605.7018347,-1.301015145,0.483825955,-2.689014785,0.007166324,0.453966974,211,316,552,613,749,1561,273.23763,362.4834059,412.9201115,467.7353135,908.0755648,1209.758983,54.6,UP_pEhEx_DOWN_CmasM
EHI_077520A,7.733266285,2.506448082,0.92931975,2.697078246,0.006995083,0.453966974,8,9,25,5,2,1,10.35972057,10.32389447,18.701092,3.815133062,2.424767863,0.774989739,54.6,DOWN_pEhEx_UP_CmasM
EHI_112880A,291.1979162,-2.131505371,0.795985453,-2.677819505,0.007410314,0.453966974,45,114,181,209,195,1325,58.2734282,130.76933,135.3959061,159.472562,236.4148667,1026.861404,54.6,UP_pEhEx_DOWN_CmasM
EHI_142900A,25.07138255,-2.258670252,0.835526798,-2.703288821,0.006865706,0.453966974,4,4,21,32,19,100,5.179860284,4.588397543,15.70891728,24.4168516,23.0352947,77.49897391,54.6,UP_pEhEx_DOWN_CmasM
EHI_157010A,924.9397086,1.525226553,0.567776653,2.686314322,0.007224509,0.453966974,1270,581,2416,787,466,343,1644.60564,666.4647431,1807.273531,600.501944,564.9709121,265.8214805,54.6,DOWN_pEhEx_UP_CmasM
EHI_174220A,443.3227272,-1.239669236,0.463048493,-2.677190951,0.007424231,0.453966974,207,232,344,519,418,1246,268.0577697,266.1270575,257.327026,396.0108119,506.7764834,965.6372149,54.6,UP_pEhEx_DOWN_CmasM
EHI_187160A,96.27811052,-1.886465128,0.70316035,-2.682837745,0.00730004,0.453966974,40,23,60,81,83,377,51.79860284,26.38328587,44.88262081,61.80515561,100.6278663,292.1711316,54.6,UP_pEhEx_DOWN_CmasM
EHI_005070A,158.4182397,-1.391273267,0.53475496,-2.601702407,0.009276231,0.462399939,50,86,132,174,154,476,64.74825355,98.65054717,98.74176578,132.7666306,186.7071255,368.8951158,53.76,UP_pEhEx_DOWN_CmasM
