"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","U2AF84_1","U2AF84_2","pEhEx_1","pEhEx_2","U2AF84_1.1","U2AF84_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"70","EHI_096340A",1606.745551,-1.040854546,0.314759633,-3.306823484,0.000943603,0.035094288,880,977,2553,2342,988.3488232,1113.157129,1735.594338,2589.881914,96.49,"UP_pEhEx_DOWN_U2AF84"
"71","EHI_098800A",412.1325971,-1.068127944,0.322752887,-3.309429554,0.000934863,0.035094288,219,251,699,580,245.9640821,285.9799788,475.1979796,641.3883477,96.49,"UP_pEhEx_DOWN_U2AF84"
"72","EHI_112800A",144.9005462,-1.377360171,0.416157278,-3.309710641,0.000933925,0.035094288,59,83,250,225,66.2642961,94.56708462,169.956359,248.8144452,96.49,"UP_pEhEx_DOWN_U2AF84"
"73","EHI_148470A",460.1517106,-1.617668615,0.487657201,-3.317224913,0.000909164,0.035094288,162,237,564,909,181.9460334,270.0289043,383.4215458,1005.210359,96.49,"UP_pEhEx_DOWN_U2AF84"
"74","EHI_035510A",84.93896971,-1.385567925,0.428390926,-3.234354045,0.001219182,0.044730806,38,45,168,119,42.67869918,51.27131094,114.2106732,131.5951955,95.53,"UP_pEhEx_DOWN_U2AF84"
"75","EHI_126210A",119.1397028,-1.42406292,0.441711329,-3.223967391,0.001264278,0.045251505,47,67,202,190,52.78681215,76.33728517,137.324738,210.109976,95.47,"UP_pEhEx_DOWN_U2AF84"
"76","EHI_174910A",684.3075519,-1.29447399,0.401584368,-3.223417279,0.001266709,0.045251505,330,370,940,1181,370.6308087,421.5641122,639.0359097,1305.999377,95.47,"UP_pEhEx_DOWN_U2AF84"
"77","EHI_194730A",43.05530531,1.725097112,0.5374922,3.209529576,0.001329524,0.04687866,59,58,31,17,66.2642961,66.08302299,21.07458851,18.79931364,95.31,"DOWN_pEhEx_UP_U2AF84"
"78","EHI_201940A",136.9931938,-1.210321656,0.379113841,-3.192501898,0.00141046,0.049094864,77,69,246,195,86.48052203,78.6160101,167.2370572,215.6391859,95.09,"UP_pEhEx_DOWN_U2AF84"
"79","EHI_048300A",49.16078868,-1.926876315,0.6048521,-3.185698312,0.001444051,0.049627827,15,21,78,93,16.84685494,23.92661177,53.02638399,102.843304,95.04,"UP_pEhEx_DOWN_U2AF84"
"80","EHI_086080A",298.0749477,-1.554412357,0.491165266,-3.164744056,0.001552194,0.052163658,109,158,372,576,122.4204792,180.0192695,252.8950621,636.9649798,94.78,"UP_pEhEx_DOWN_U2AF84"
"81","EHI_131670A",424.1612415,0.965297437,0.305089415,3.163982069,0.001556264,0.052163658,546,447,459,237,613.2255198,509.295022,312.039875,262.084549,94.78,"DOWN_pEhEx_UP_U2AF84"
"82","EHI_105280A",72.49156993,-1.464511008,0.463448497,-3.160029687,0.001577531,0.052231655,31,37,136,109,34.81683354,42.15641122,92.45625927,120.5367757,94.78,"UP_pEhEx_DOWN_U2AF84"
"83","EHI_044820A",155.6333753,-1.396711836,0.444429132,-3.142709909,0.001673916,0.053625866,64,87,238,262,71.87991441,99.12453448,161.7984537,289.7305985,94.64,"UP_pEhEx_DOWN_U2AF84"
"84","EHI_083270A",2585.888524,-1.538458244,0.489667834,-3.141840525,0.001678895,0.053625866,568,1765,5365,3660,637.9342404,2010.974751,3647.263463,4047.381643,94.64,"UP_pEhEx_DOWN_U2AF84"
"85","EHI_083410A",2585.888524,-1.538458244,0.489667834,-3.141840525,0.001678895,0.053625866,568,1765,5365,3660,637.9342404,2010.974751,3647.263463,4047.381643,94.64,"UP_pEhEx_DOWN_U2AF84"
"86","EHI_058320A",51.04067933,-1.993851534,0.636883858,-3.130636003,0.001744282,0.055066581,13,23,76,101,14.60060762,26.2053367,51.66673312,111.6900399,94.49,"UP_pEhEx_DOWN_U2AF84"
"87","EHI_009810A",757.3316079,-0.862432594,0.276181841,-3.122698407,0.001792013,0.055287666,480,470,1317,958,539.0993581,535.5003587,895.330099,1059.396616,94.47,"UP_pEhEx_DOWN_U2AF84"
"88","EHI_035600A",3354.906396,-0.901996536,0.2887562,-3.123730454,0.00178574,0.055287666,1863,2269,5632,4443,2092.379384,2585.213434,3828.776855,4913.255912,94.47,"UP_pEhEx_DOWN_U2AF84"
"89","EHI_186950A",201.1369088,-1.126818761,0.361858382,-3.113977224,0.001845837,0.05630841,93,130,376,268,104.4505006,148.1171205,255.6143639,296.3656503,94.37,"UP_pEhEx_DOWN_U2AF84"
"90","EHI_143440A",181.688733,-1.467581855,0.473083216,-3.102164282,0.001921113,0.05795358,58,112,291,304,65.14117244,127.6085961,197.8292018,336.1759616,94.2,"UP_pEhEx_DOWN_U2AF84"
"91","EHI_013220A",1095.79405,-1.225908527,0.39568326,-3.098206699,0.001946956,0.058087748,435,723,1690,1738,488.5587933,823.7590624,1148.904987,1921.953359,94.19,"UP_pEhEx_DOWN_U2AF84"
"92","EHI_115360A",59.1668949,-1.663027792,0.538202196,-3.089968423,0.002001778,0.059074202,19,31,107,97,21.33934959,35.32023642,72.74132163,107.2666719,94.09,"UP_pEhEx_DOWN_U2AF84"
"93","EHI_017030A",89.64225782,-1.58247672,0.513266346,-3.083149194,0.002048224,0.059794938,30,49,142,156,33.69370988,55.8287608,96.53521189,172.5113487,94.02,"UP_pEhEx_DOWN_U2AF84"
"94","EHI_107170A",337.6329175,1.855966523,0.605391612,3.065728838,0.002171401,0.062056367,502,435,355,45,563.8080787,495.6226724,241.3380297,49.76288905,93.79,"DOWN_pEhEx_UP_U2AF84"
"95","EHI_202460A",588.6837552,-1.49713119,0.488152092,-3.066935927,0.002162652,0.062056367,189,354,764,1103,212.2703723,403.3343127,519.386633,1219.743703,93.79,"UP_pEhEx_DOWN_U2AF84"
"96","EHI_022970A",407.330124,-0.931860466,0.305527565,-3.050004559,0.002288379,0.063068296,249,246,693,541,279.657792,280.2831665,471.119027,598.2605106,93.69,"UP_pEhEx_DOWN_U2AF84"
"97","EHI_028880A",520.5684023,-0.886690755,0.290448055,-3.052837642,0.002266886,0.063068296,300,346,1057,572,336.9370988,394.219413,718.5754857,632.5416119,93.69,"UP_pEhEx_DOWN_U2AF84"
"98","EHI_076020A",479.7095914,-1.09046067,0.357701844,-3.048518447,0.002299728,0.063068296,222,319,789,696,249.3334531,363.4566264,536.3822689,769.6660173,93.69,"UP_pEhEx_DOWN_U2AF84"
"99","EHI_083400A",445.9728838,0.870626349,0.28509035,3.053861164,0.002259166,0.063068296,529,491,488,270,594.1324176,559.4269705,331.7548127,298.5773343,93.69,"DOWN_pEhEx_UP_U2AF84"
"100","EHI_049000A",3793.237124,-1.443765838,0.475857965,-3.03402684,0.00241313,0.064231832,951,2642,6747,5885,1068.090603,3010.195633,4586.782216,6507.880046,93.58,"UP_pEhEx_DOWN_U2AF84"
"101","EHI_181610A",150.2171859,1.165547414,0.384038336,3.034976736,0.002405542,0.064231832,151,216,139,82,169.5916731,246.1022925,94.49573558,90.67904227,93.58,"DOWN_pEhEx_UP_U2AF84"
"102","EHI_186720A",9827.008799,-1.254760608,0.413125767,-3.037236377,0.002387581,0.064231832,3225,7009,17410,14346,3622.073812,7985.791519,11835.76084,15864.40903,93.58,"UP_pEhEx_DOWN_U2AF84"
"103","EHI_012570A",118.492836,-1.279748678,0.423559267,-3.02141584,0.002515956,0.065680959,66,56,195,184,74.12616174,63.80429806,132.56596,203.4749241,93.43,"UP_pEhEx_DOWN_U2AF84"
"104","EHI_170120A",191.8191671,-1.142519051,0.377776955,-3.024321717,0.002491913,0.065680959,86,125,346,265,96.58863499,142.4203082,235.2196008,293.0481244,93.43,"UP_pEhEx_DOWN_U2AF84"
"105","EHI_087210A",506.4867731,1.203079668,0.39886189,3.016281319,0.002558957,0.066167323,721,530,590,191,809.7721608,603.8621066,401.0970071,211.215818,93.38,"DOWN_pEhEx_UP_U2AF84"
"106","EHI_007930A",121.4896982,-1.24829071,0.414251443,-3.013364782,0.002583681,0.06617637,66,61,201,186,74.12616174,69.50111038,136.6449126,205.6866081,93.38,"UP_pEhEx_DOWN_U2AF84"
"107","EHI_178340A",1856.35264,-3.108902588,1.034733994,-3.004542815,0.002659803,0.067489399,217,463,1876,4864,243.7178348,527.5248214,1275.352518,5378.815385,93.25,"UP_pEhEx_DOWN_U2AF84"
"108","EHI_141940A",13831.49868,-0.923330875,0.308562965,-2.992358063,0.002768314,0.069592329,7635,9238,21731,19399,8575.049165,10525.43045,14773.28655,21452.22855,93.04,"UP_pEhEx_DOWN_U2AF84"
"109","EHI_197480A",14079.91658,-1.44804878,0.484519453,-2.988628778,0.002802324,0.069801001,3594,9715,22670,23333,4036.506444,11068.90635,15411.64263,25802.61089,93.02,"UP_pEhEx_DOWN_U2AF84"
"110","EHI_167310A",4135.762945,-1.393377144,0.468128418,-2.976484848,0.002915735,0.071965639,1410,2613,5302,7576,1583.604364,2977.154122,3604.434461,8377.858832,92.8,"UP_pEhEx_DOWN_U2AF84"
"111","EHI_015440A",261.3445558,-1.146046294,0.38589119,-2.969869033,0.002979267,0.072871269,129,158,401,405,144.8829525,180.0192695,272.6099998,447.8660014,92.71,"UP_pEhEx_DOWN_U2AF84"
"112","EHI_201200A",196.3887283,-1.094880517,0.369275409,-2.964942938,0.003027391,0.073387196,103,118,324,285,115.6817373,134.4447709,220.2634412,315.164964,92.66,"UP_pEhEx_DOWN_U2AF84"
"113","EHI_049660A",85.73215496,-1.40139184,0.473091592,-2.962199842,0.003054495,0.073388964,43,40,137,141,48.2943175,45.57449861,93.13608471,155.923719,92.66,"UP_pEhEx_DOWN_U2AF84"
"114","EHI_140540A",6885.040104,-0.897545835,0.303745072,-2.954931346,0.003127386,0.074481175,3436,5056,12921,8262,3859.052905,5760.616624,8784.024456,9136.466429,92.55,"UP_pEhEx_DOWN_U2AF84"
"115","EHI_031240A",131.4547729,-1.373611191,0.466011966,-2.94758781,0.003202638,0.075433619,57,72,191,226,64.01804878,82.0340975,129.8466582,249.9202872,92.46,"UP_pEhEx_DOWN_U2AF84"
"116","EHI_054940A",52.09207916,1.461320296,0.49609722,2.945632905,0.003222947,0.075433619,70,65,38,27,78.61865639,74.05856024,25.83336656,29.85773343,92.46,"DOWN_pEhEx_UP_U2AF84"
"117","EHI_005010A",122.1222084,-1.257049939,0.427714767,-2.938991204,0.003292824,0.075901214,57,70,198,190,64.01804878,79.75537257,134.6054363,210.109976,92.41,"UP_pEhEx_DOWN_U2AF84"
"118","EHI_013340A",73.04985422,-1.341213688,0.456596409,-2.937416198,0.003309596,0.075901214,40,33,136,106,44.92494651,37.59896135,92.45625927,117.2192498,92.41,"UP_pEhEx_DOWN_U2AF84"
