baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,pEhEx_1,pEhEx_2,CmasM_1.1,CmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_138950A,31.84303731,-0.181781072,0.617829299,-0.294225399,0.768585674,0.999901938,27,27,46,32,32.05321051,27.58853077,31.72903242,36.00137553,0.01,UP_pEhEx_DOWN_CmasM
EHI_138970A,13.41137964,-0.316021791,0.963901314,-0.327856998,0.743019789,0.999901938,10,12,33,6,11.87155945,12.26156923,22.76213195,6.750257913,0.01,UP_pEhEx_DOWN_CmasM
EHI_138990A,30.50475105,0.379278683,0.633398518,0.598799448,0.54930663,0.999901938,29,34,44,20,34.4275224,34.74111283,30.34950927,22.50085971,0.01,DOWN_pEhEx_UP_CmasM
EHI_139000A,6.459336268,0.155865587,1.256544787,0.124043002,0.901281228,0.999901938,9,3,11,4,10.6844035,3.065392308,7.587377318,4.500171942,0.01,DOWN_pEhEx_UP_CmasM
EHI_139010A,2725.156788,0.547967247,0.422608654,1.296630447,0.194758371,0.999901938,3424,2357,3080,2047,4064.821956,2408.376557,2124.465649,2302.962991,0.01,DOWN_pEhEx_UP_CmasM
EHI_139020A,2189.959738,0.626824212,0.39926083,1.569961702,0.116424021,0.999901938,2373,2447,2991,1226,2817.121057,2500.338326,2063.076869,1379.3027,0.01,DOWN_pEhEx_UP_CmasM
EHI_139030A,71.55067986,-0.236647533,0.48991731,-0.483035664,0.629070414,0.999901938,52,68,104,74,61.73210914,69.48222565,71.73520373,83.25318092,0.01,UP_pEhEx_DOWN_CmasM
EHI_139040A,14.59444679,0.508471929,0.9641553,0.527375548,0.597932821,0.999901938,23,7,20,9,27.30458673,7.152582052,13.79523149,10.12538687,0.01,DOWN_pEhEx_UP_CmasM
EHI_139060A,29.47473267,-0.652117417,0.687981656,-0.947870356,0.343195458,0.999901938,16,26,38,41,18.99449512,26.56673334,26.21093983,46.1267624,0.01,UP_pEhEx_DOWN_CmasM
EHI_139070A,144.383515,-0.00462755,0.490820124,-0.009428198,0.992477497,0.999901938,86,182,206,131,102.0954113,185.9671334,142.0908843,147.3806311,0.01,UP_pEhEx_DOWN_CmasM
EHI_139310A,16.91824884,-0.830837753,0.794455292,-1.04579548,0.295655468,0.999901938,11,11,27,22,13.05871539,11.2397718,18.62356251,24.75094568,0.01,UP_pEhEx_DOWN_CmasM
EHI_139340A,8.963054743,0.291923377,1.031581718,0.282986187,0.777187426,0.999901938,9,9,15,5,10.6844035,9.196176925,10.34642362,5.625214927,0.01,DOWN_pEhEx_UP_CmasM
EHI_139370A,80.22836399,0.195453265,0.509552856,0.383577999,0.701291249,0.999901938,83,71,90,78,98.53394343,72.54761796,62.07854169,87.75335286,0.01,DOWN_pEhEx_UP_CmasM
EHI_139380A,331.4789334,0.023044201,0.413480075,0.055732313,0.955555057,0.999901938,294,312,393,344,349.0238478,318.8008,271.0762987,387.014787,0.01,DOWN_pEhEx_UP_CmasM
EHI_139410A,11.33501303,0.242177232,0.985690959,0.245692861,0.805919999,0.999901938,14,8,20,6,16.62018323,8.174379488,13.79523149,6.750257913,0.01,DOWN_pEhEx_UP_CmasM
