"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EhMyb10_1","EhMyb10_2","pEhEx_1","pEhEx_2","EhMyb10_1.1","EhMyb10_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"3637","EHI_140510A",40.09575073,-0.238856718,0.608456186,-0.392561902,0.694643083,0.999463877,27,43,67,33,28.65549214,45.02965545,47.86996309,38.82789223,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3638","EHI_140520A",157.5302343,0.399550377,0.437523022,0.913209951,0.361132132,0.999463877,154,186,178,123,163.4424367,194.7794398,127.1769169,144.7221438,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3639","EHI_140560A",10.50877905,0.865502192,1.046124243,0.827341683,0.408043424,0.999463877,7,19,14,4,7.429201667,19.8968245,10.00267885,4.706411179,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3640","EHI_140590A",455.7117022,0.127551587,0.448337253,0.284499194,0.776027851,0.999463877,391,512,479,450,414.9739788,536.1670602,342.2345122,529.4712577,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3641","EHI_140640A",26.28940337,-1.893659762,2.494602622,-0.759102771,0.447791082,0.999463877,21,0,32,51,22.287605,0,22.86326595,60.00674254,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3642","EHI_140670A",24.96081479,0.047157537,0.676784041,0.069678855,0.944449272,0.999463877,26,22,31,23,27.59417762,23.03842837,22.14878889,27.06186428,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3643","EHI_140680A",12.84894803,0.071233311,0.884173415,0.080564864,0.93578801,0.999463877,9,16,17,11,9.551830714,16.75522063,12.14611004,12.94263074,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3644","EHI_140700A",18.63055314,-0.100760451,0.814284548,-0.123741082,0.901520283,0.999463877,24,10,26,17,25.47154857,10.47201289,18.57640359,20.00224751,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3645","EHI_140710A",13.11349721,-0.228580518,0.863282172,-0.26478077,0.791178352,0.999463877,12,11,23,10,12.73577429,11.51921418,16.4329724,11.76602795,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3646","EHI_140720A",115.9620745,0.108473828,0.614591739,0.176497374,0.859903211,0.999463877,90,138,86,138,95.51830714,144.5137779,61.44502725,162.3711857,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3647","EHI_140750A",53.42011954,0.338781123,0.54743414,0.618852751,0.536013367,0.999463877,65,48,63,42,68.98544405,50.26566189,45.01205484,49.41731738,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3648","EHI_140980A",16.1458468,0.105061127,0.843416297,0.124566158,0.900867022,0.999463877,16,16,30,8,16.98103238,16.75522063,21.43431183,9.412822359,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3649","EHI_141000A",38.26775531,-0.288531626,0.671113416,-0.429929754,0.667246741,0.999463877,32,33,36,50,33.96206476,34.55764255,25.7211742,58.83013974,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3650","EHI_141040A",21.8176033,0.317165894,0.714669097,0.443794051,0.65719149,0.999463877,19,27,28,16,20.16497595,28.27443482,20.00535771,18.82564472,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3651","EHI_141060A",18.46239425,-0.427104756,0.776659618,-0.549925278,0.582370626,0.999463877,17,13,36,14,18.04234691,13.61361676,25.7211742,16.47243913,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3652","EHI_141070A",33.6495512,0.222375943,0.627440455,0.354417605,0.723025943,0.999463877,34,35,52,21,36.08469381,36.65204513,37.15280717,24.70865869,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3653","EHI_141090A",7.69039111,0.448870899,1.126539417,0.398451126,0.690297678,0.999463877,10,7,13,3,10.61314524,7.330409026,9.288201793,3.529808384,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3654","EHI_141330A",140.6318068,-0.420724032,0.470382635,-0.894429346,0.371092217,0.999463877,102,126,186,161,108.2540814,131.9473625,132.8927333,189.43305,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3655","EHI_141350A",24.67383932,0.059153867,0.696551223,0.084923929,0.932321868,0.999463877,22,26,41,16,23.34891952,27.22723353,29.2935595,18.82564472,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3656","EHI_141370A",34.77179501,0.039143179,0.605391358,0.064657644,0.948446587,0.999463877,33,34,53,26,35.02337929,35.60484384,37.86728423,30.59167267,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3657","EHI_141410A",19.25665391,0.511068213,0.741375976,0.689350923,0.49060246,0.999463877,19,24,23,13,20.16497595,25.13283095,16.4329724,15.29583633,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3658","EHI_141560A",12.46808797,0.033419404,0.90572684,0.036897885,0.970566426,0.999463877,8,16,18,10,8.490516191,16.75522063,12.8605871,11.76602795,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3659","EHI_141820A",11.075315,0.816555335,0.960475263,0.850157591,0.395237477,0.999463877,10,17,14,5,10.61314524,17.80242192,10.00267885,5.883013974,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3660","EHI_141830A",544.2585749,-0.13853136,0.410902344,-0.337139375,0.736011836,0.999463877,567,415,811,477,601.765335,434.5885351,579.4408965,561.2395331,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3661","EHI_141850A",18.59120545,-0.032224665,0.76129528,-0.042328734,0.96623664,0.999463877,19,16,31,13,20.16497595,16.75522063,22.14878889,15.29583633,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3662","EHI_141860A",40.02196869,0.108838266,0.592727908,0.183622644,0.854309498,0.999463877,41,38,63,27,43.51389548,39.793649,45.01205484,31.76827546,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3663","EHI_141870A",28.09194704,-0.079308751,0.65503774,-0.121075086,0.903631562,0.999463877,24,28,46,21,25.47154857,29.32163611,32.86594481,24.70865869,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3664","EHI_141900A",10.55494019,0.162196697,0.956953233,0.169492815,0.865409024,0.999463877,10,11,10,11,10.61314524,11.51921418,7.14477061,12.94263074,0.05,"DOWN_pEhEx_UP_EhMyb10"
