"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","pEhEx_1","pEhEx_2","CDC5_1.1","CDC5_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"2756","EHI_182720A",111.7259364,0.15995092,0.409518942,0.390582469,0.696105886,0.921689171,94,109,165,99,123.1500111,112.7738499,106.5605567,104.4193281,7.83,"DOWN_pEhEx_UP_CDC5"
"2757","EHI_015380A",1577.156658,-0.123982157,0.318475659,-0.389298691,0.697055204,0.921977835,948,1717,2604,1525,1241.980963,1776.446791,1681.719331,1608.479549,7.8,"UP_pEhEx_DOWN_CDC5"
"2758","EHI_105060A",4854.607505,-0.111345096,0.286108258,-0.389171209,0.6971495,0.921977835,3745,4280,7213,5144,4906.348845,4428.184196,4658.310881,5425.586097,7.8,"UP_pEhEx_DOWN_CDC5"
"2759","EHI_188080A",105.3765808,-0.172381395,0.443170848,-0.388972776,0.697296285,0.921977835,64,110,149,121,83.84681605,113.8084723,96.2274118,127.6236232,7.8,"UP_pEhEx_DOWN_CDC5"
"2760","EHI_197510A",1233.155389,0.115105262,0.296297509,0.38847867,0.697661836,0.922126948,1067,1128,1837,1120,1397.883636,1167.054153,1186.374198,1181.30957,7.79,"DOWN_pEhEx_UP_CDC5"
"2761","EHI_023120A",16.6291029,0.329444865,0.851728637,0.386795571,0.698907556,0.922945138,15,17,29,10,19.65159751,17.58858209,18.72882512,10.54740688,7.71,"DOWN_pEhEx_UP_CDC5"
"2762","EHI_069290A",26.22944228,0.269697541,0.696679442,0.387118559,0.698668439,0.922945138,21,29,44,18,27.51223651,30.0040518,28.41614845,18.98533238,7.71,"DOWN_pEhEx_UP_CDC5"
"2763","EHI_181230A",16.64624025,0.319630847,0.826737957,0.386616877,0.699039862,0.922945138,14,18,23,14,18.34149101,18.62320456,14.85389578,14.76636963,7.71,"DOWN_pEhEx_UP_CDC5"
"2764","EHI_001990A",24.51687701,0.30956918,0.849257665,0.364517382,0.715471697,0.923056466,26,20,54,8,34.06276902,20.69244952,34.87436401,8.4379255,7.69,"DOWN_pEhEx_UP_CDC5"
"2765","EHI_003900A",23.41645648,-0.257982595,0.732987998,-0.351960191,0.724868118,0.923056466,20,16,38,25,26.20213001,16.55395961,24.54121912,26.36851719,7.69,"UP_pEhEx_DOWN_CDC5"
"2766","EHI_004370A",254.6818899,0.151555616,0.412920211,0.367033659,0.713593911,0.923056466,264,184,329,256,345.8681162,190.3705355,212.4752918,270.013616,7.69,"DOWN_pEhEx_UP_CDC5"
"2767","EHI_004430A",43.57846934,-0.970104554,2.754141153,-0.352234871,0.724662127,0.923056466,45,0,79,61,58.95479253,0,51.0199029,64.33918194,7.69,"UP_pEhEx_DOWN_CDC5"
"2768","EHI_006550A",68.77934152,0.171425468,0.476595603,0.359687473,0.719080861,0.923056466,52,75,104,59,68.12553804,77.59668569,67.16544179,62.22970057,7.69,"DOWN_pEhEx_UP_CDC5"
"2769","EHI_007480A",179.2023418,0.132729845,0.372347749,0.35646743,0.721490539,0.923056466,135,191,241,177,176.8643776,197.6128929,155.6429949,186.6891017,7.69,"DOWN_pEhEx_UP_CDC5"
"2770","EHI_009860A",99.09410192,0.152992313,0.436476642,0.35051661,0.725951027,0.923056466,69,114,136,95,90.39734855,117.9469622,87.83173158,100.2003653,7.69,"DOWN_pEhEx_UP_CDC5"
"2771","EHI_011550A",55.86042634,-0.180785434,0.520041685,-0.347636428,0.728113245,0.923056466,34,58,91,57,44.54362102,60.0081036,58.76976157,60.12021919,7.69,"UP_pEhEx_DOWN_CDC5"
"2772","EHI_012470A",15.62897555,-0.307300059,0.883936444,-0.347649496,0.72810343,0.923056466,7,18,26,17,9.170745505,18.62320456,16.79136045,17.93059169,7.69,"UP_pEhEx_DOWN_CDC5"
"2773","EHI_014060A",72.76171988,0.183374817,0.493293818,0.371735485,0.710089802,0.923056466,64,69,127,51,83.84681605,71.38895083,82.01933757,53.79177506,7.69,"DOWN_pEhEx_UP_CDC5"
"2774","EHI_014200A",74.83069022,-0.177426047,0.48448596,-0.366215043,0.714204618,0.923056466,44,80,135,68,57.64468603,82.76979806,87.18591002,71.72236675,7.69,"UP_pEhEx_DOWN_CDC5"
"2775","EHI_016480A",29.92894034,-0.241182456,0.665022909,-0.362667891,0.716852989,0.923056466,18,30,42,36,23.58191701,31.03867427,27.12450534,37.97066475,7.69,"UP_pEhEx_DOWN_CDC5"
"2776","EHI_021230A",29.65560977,-0.231037516,0.666307773,-0.34674294,0.728784448,0.923056466,17,31,44,34,22.27181051,32.07329675,28.41614845,35.86118338,7.69,"UP_pEhEx_DOWN_CDC5"
"2777","EHI_021340A",341.7756527,0.119763613,0.336412662,0.356002096,0.721838995,0.923056466,301,307,482,326,394.3420567,317.6291001,311.2859898,343.8454641,7.69,"DOWN_pEhEx_UP_CDC5"
