baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,pEhEx_1,pEhEx_2,UmasM_1.1,UmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_112880A,172.1963855,-0.564463363,0.695130762,-0.812024721,0.416777447,0.999745166,49,289,209,195,60.84060047,216.1513573,164.4759594,247.3176248,0.03,UP_pEhEx_DOWN_UmasM
EHI_112890A,32.35615477,-0.401188034,0.721692481,-0.555898869,0.578279991,0.999745166,27,30,45,30,33.5244125,22.43785716,35.41348408,38.04886535,0.03,UP_pEhEx_DOWN_UmasM
EHI_112990A,1168.337881,-1.135361854,0.481832669,-2.356340548,0.018455989,0.999745166,659,861,1945,1325,818.243994,643.9665005,1530.649479,1680.491553,0.03,UP_pEhEx_DOWN_UmasM
EHI_113410A,9.244296471,-0.598604906,1.133488831,-0.528108341,0.597424142,0.999745166,7,8,9,12,8.691514352,5.983428576,7.082696816,15.21954614,0.03,UP_pEhEx_DOWN_UmasM
EHI_113420A,226.4918443,0.222840293,0.511678217,0.435508658,0.663193256,0.999745166,201,319,294,147,249.5706264,238.5892145,231.368096,186.4394402,0.03,DOWN_pEhEx_UP_UmasM
EHI_113440A,14.70500049,1.958411283,1.078406173,1.816023806,0.06936672,0.999745166,12,42,3,8,14.89973889,31.41300002,2.360898939,10.14636409,0.03,DOWN_pEhEx_UP_UmasM
EHI_113550A,10.67492323,-0.243284601,1.043056222,-0.233242078,0.815573433,0.999745166,8,13,18,7,9.93315926,9.723071436,14.16539363,8.878068581,0.03,UP_pEhEx_DOWN_UmasM
EHI_113560A,62.19421486,-0.243386577,0.617962707,-0.393853181,0.693689439,0.999745166,38,89,91,50,47.18250648,66.56564291,71.61393447,63.41477558,0.03,UP_pEhEx_DOWN_UmasM
EHI_113590A,250.8525419,-0.096273093,0.610074505,-0.157805469,0.874610089,0.999745166,110,465,334,202,136.5809398,347.786786,262.8467485,256.1956933,0.03,UP_pEhEx_DOWN_UmasM
EHI_113690A,144.0820962,-0.365763822,0.533522435,-0.685564089,0.492988033,0.999745166,112,151,201,131,139.0642296,112.9372144,158.1802289,166.146712,0.03,UP_pEhEx_DOWN_UmasM
EHI_113890A,9787.925374,0.04408177,0.582995156,0.075612584,0.939727325,0.999745166,11410,7632,10952,8403,14167.16839,5708.190861,8618.855058,10657.48718,0.03,DOWN_pEhEx_UP_UmasM
EHI_113900A,640.660369,-0.532325406,0.657143863,-0.81005916,0.417906175,0.999745166,190,1084,824,684,235.9125324,810.754572,648.4602418,867.5141299,0.03,UP_pEhEx_DOWN_UmasM
EHI_113910A,97.63139406,-0.621853396,0.767138752,-0.810613978,0.417587387,0.999745166,21,170,171,81,26.07454306,127.1478572,134.5712395,102.7319364,0.03,UP_pEhEx_DOWN_UmasM
EHI_113950A,758.1625877,0.451350964,0.962369001,0.468999899,0.639069708,0.999745166,1289,202,258,850,1600.480286,151.0815715,203.0373087,1078.051185,0.03,DOWN_pEhEx_UP_UmasM
EHI_113970A,218.9407136,-0.275052569,0.573819457,-0.479336428,0.631699311,0.999745166,106,353,291,198,131.6143602,264.0187859,229.007197,251.1225113,0.03,UP_pEhEx_DOWN_UmasM
EHI_113980A,86.45752661,-0.396241153,0.580963357,-0.682041557,0.495212674,0.999745166,58,103,105,90,72.01540463,77.03664291,82.63146285,114.146596,0.03,UP_pEhEx_DOWN_UmasM
EHI_114000A,9.449043446,2.231491312,1.216038411,1.835050021,0.066498278,0.999745166,18,12,5,2,22.34960833,8.975142864,3.934831564,2.536591023,0.03,DOWN_pEhEx_UP_UmasM
EHI_114010A,166.3730215,1.653413158,2.75305718,0.60057349,0.548124099,0.999745166,397,16,1,126,492.9330283,11.96685715,0.786966313,159.8052345,0.03,DOWN_pEhEx_UP_UmasM
EHI_114120A,297.1014271,-0.411965703,0.513096389,-0.802901193,0.422031847,0.999745166,173,394,405,284,214.804569,294.6838574,318.7213567,360.1959253,0.03,UP_pEhEx_DOWN_UmasM
EHI_114140A,72.41221853,0.645819537,0.590880872,1.092977565,0.27440365,0.999745166,78,107,74,43,96.84830278,80.0283572,58.23550715,54.536707,0.03,DOWN_pEhEx_UP_UmasM
EHI_114150A,60.00276322,0.027254762,0.623052936,0.043743894,0.96510855,0.999745166,58,66,75,47,72.01540463,49.36328575,59.02247346,59.60988904,0.03,DOWN_pEhEx_UP_UmasM
EHI_114320A,274.4161649,-0.825976523,0.586801034,-1.407592139,0.159251876,0.999745166,137,301,285,377,170.1053523,225.1265002,224.2853992,478.1474079,0.03,UP_pEhEx_DOWN_UmasM
EHI_114330A,1378.140514,-0.027692913,0.504162852,-0.054928507,0.956195421,0.999745166,1343,1421,1819,1065,1667.529111,1062.806501,1431.491723,1350.73472,0.03,UP_pEhEx_DOWN_UmasM
EHI_114340A,625.5387409,0.198347727,0.555706003,0.35692925,0.721144772,0.999745166,726,583,737,461,901.4342028,436.0423575,579.9941726,584.6842308,0.03,DOWN_pEhEx_UP_UmasM
