logFC	logCPM	PValue	FDR	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_003010A	-0.713473766956355	6.39081324644107	0.377830778569698	1	838	527	114	1226	1076	1206	92.786153174461	56.34407599537	40.9080586376317	94.1700647032982	129.904045044457	87.9083489458339	0	UP_pEhEx_DOWN_EhMyb10
EHI_003020A	1.41787244165946	1.88910539746423	0.364077139377969	1	2	4	43	14	7	54	0.221446666287496	0.427659020837723	15.430232644019	1.07535147295773	0.845100664787359	3.93619472891794	0	DOWN_pEhEx_UP_EhMyb10
EHI_003040A	-1.16570517503606	0.7098053145597	0.116355529547436	1	7	12	1	19	12	41	0.775063332006238	1.28297706251317	0.358842619628348	1.45940557044263	1.44874399677833	2.98859229417843	0	UP_pEhEx_DOWN_EhMyb10
EHI_003240.mRNA	1.05906525297586	1.80105756408821	0.585204289478885	1	31	90	0	74	5	0	3.4324233274562	9.62232796884876	0	5.68400064277656	0.603643331990971	0	0	DOWN_pEhEx_UP_EhMyb10
EHI_003260A	0.438948941797898	7.35038916505572	0.568983848095377	1	1648	1554	597	1436	1115	2335	182.472053020897	166.145529595455	214.229043918124	110.300336797664	134.612463033986	170.203975778211	0	DOWN_pEhEx_UP_EhMyb10
EHI_003890A	0.439038101995569	1.84578487745339	0.603434620504955	1	18	39	16	35	10	64	1.99301999658747	4.1696754531678	5.74148191405357	2.68837868239432	1.20728666398194	4.66511967871755	0	DOWN_pEhEx_UP_EhMyb10
EHI_003900A	0.400631917416542	1.97263194221827	0.656585131550949	1	13	19	27	38	25	50	1.43940333086873	2.03138034897918	9.6887507299654	2.91881114088526	3.01821665995485	3.64462474899809	0	DOWN_pEhEx_UP_EhMyb10
EHI_003930A	0.194318449758413	3.48141257094434	0.886727850808441	1	147	157	5	137	162	8	16.276329972131	16.7856165678806	1.79421309814174	10.5230822710863	19.5580439565075	0.583139959839694	0	DOWN_pEhEx_UP_EhMyb10
EHI_003940A	-0.278908792533609	9.43457410160489	0.816967998006866	1	9413	7259	158	12824	9564	1860	1042.2387348821	776.094208065257	56.697133901279	985.021949229278	1154.64896543233	135.580040662729	0	UP_pEhEx_DOWN_EhMyb10
EHI_003950A	2.89649736390224	4.78613464840696	0.152370120479188	1	5	13	402	24	9	228	0.553616665718741	1.3898918177226	144.254733090596	1.84345966792753	1.08655799758375	16.6194888554313	0	DOWN_pEhEx_UP_EhMyb10
EHI_004170A	-0.463435958493775	6.62958242002798	0.574531238282365	1	641	474	356	1137	1165	1585	70.9736565451426	50.6775939692701	127.747972587692	87.3339017680669	140.648896353896	115.534604543239	0	UP_pEhEx_DOWN_EhMyb10
EHI_004190A	0.282416723593049	1.80951933386918	0.716218818030596	1	24	49	8	45	25	34	2.65735999544996	5.2388230052621	2.87074095702678	3.45648687736412	3.01821665995485	2.4783448293187	0	DOWN_pEhEx_UP_EhMyb10
