CmasM_1	CmasM_2	pEhEx_1	pEhEx_2
EHI_004800A	102.078991911341	98.9303644401857	119.628738578522	70.4678266080749
EHI_004810A	757.786398777134	1087.18155815651	783.749493353829	798.635368224849
EHI_004820A	176.53660954079	201.018080936973	192.856027041738	225.944459917955
EHI_004830A	163.326387058146	155.762701459016	153.704803506949	175.610298055044
EHI_004840A	640.095325749941	887.215927905069	1060.70814872956	1671.09417384863
EHI_004850A	10.8083638494361	7.36715479873723	14.5004531610329	6.71122158172142
EHI_004860A	225.774711521555	428.347429012293	514.041064558617	482.089416953655
EHI_004870A	10.8083638494361	19.9965630251439	21.7506797415494	12.3039062331559
EHI_004880A	234.181216737783	263.112671383473	343.66073991648	554.794317422304
EHI_004900A	42.0325260811406	23.1539150817456	29.0009063220658	46.9785510720499
EHI_004930A	36.0278794981205	82.0911534716434	75.4023564373711	86.1273436320916
EHI_004940A	60.0464658302008	130.503885006202	118.90371592047	129.750283913281
EHI_004960A	153.718952525314	183.126419282897	166.030188693827	151.002485588732
EHI_004970A	506.792171606895	455.711146836174	462.56445583695	275.160084850578
EHI_004980A	16.8130104324562	14.7343095974745	16.6755211351878	15.6595170240166
EHI_004990A	50.4390312973687	36.8357739936862	40.6012688508921	65.9936788869273
EHI_005000A	12.0092931660402	24.2063657672795	26.8258383479109	42.5044033509023
EHI_005010A	58.8455365135968	119.979378150863	143.554486294226	212.522016754512
EHI_005020A	572.843284020116	936.681110125162	1138.28557314108	1799.72592083163
EHI_005030A	2.40185863320803	6.31470411320334	10.8753398707747	26.8448863268857
EHI_005040A	6.00464658302008	6.31470411320334	10.8753398707747	20.1336647451643
EHI_005060A	506.792171606895	464.130752320445	528.54151771965	895.94808115981
EHI_005070A	60.0464658302008	90.5107589559145	126.153942500986	172.254687264183
EHI_005080A	84.0650521622811	79.9862521005756	60.1768806182866	64.8751419566404
EHI_005100A	37.2288088147245	48.4127315345589	78.3024470695777	96.1941760046737
EHI_005120A	18.0139397490602	7.36715479873723	10.150317212723	10.0668323725821
EHI_005130A	134.50408345965	94.7205616980501	102.953217443334	97.3127129349606
EHI_005140A	323.04998616648	429.399879697827	257.383043608334	455.24453062677
EHI_005150A	1120.46705239155	1867.04751613712	1983.6619924293	1955.20255414151
EHI_005460A	3893.41284443022	2794.25657009248	2407.07522473146	2674.42180031599
EHI_005657A	9.60743453283213	10.5245068553389	8.70027189661975	15.6595170240166
EHI_005860A	25.2195156486843	24.2063657672795	29.0009063220658	30.2004971177464
EHI_005870A	297.830470517796	306.263149490362	274.783587401574	359.050354622096
EHI_005890A	18998.7017886755	18687.3143723398	14061.8144529117	13762.4783902501
EHI_005900A	26.4204449652884	32.6259712515506	36.2511329025823	38.0302556297547
EHI_005910A	368.685300197433	462.025850949378	381.361918135166	290.819601874595
