pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_103310A	2886.26267604329	1033.10550618032	1.5916013234413	0.984028520961807	1.48221500676921	585	1190	3240	3191	671.151740619386	1378.37587457327	2307.54984328841	3504.16371387922	98.4	UP_pEhEx_DOWN_U2AF84
EHI_147570A	2759.85858023627	1133.88059340581	1.58922733987118	0.983735106933855	1.28332562171238	856	1097	3071	3069	982.061350376401	1270.65406252678	2187.1869039317	3370.19067311041	98.37	UP_pEhEx_DOWN_U2AF84
EHI_103510A	3036.77326016573	734.92326478392	1.58477025787626	0.983373968539775	2.04687366665159	474	790	2698	3823	543.805000091605	915.056252867966	1921.53378925683	4198.18799064878	98.34	UP_pEhEx_DOWN_U2AF84
EHI_158570A	8135.01415194027	1253.90355648569	1.33091392326714	0.983274385558575	2.69771846759238	474	1675	4325	12142	543.805000091605	1940.15091589094	3080.29415809332	13333.6119755317	98.33	UP_pEhEx_DOWN_U2AF84
EHI_117850A	6689.69203053892	2261.43509685677	1.57951423914273	0.983238038680656	1.56470120463909	1174	2709	7024	7714	1346.8925529695	3137.83213799914	5002.54015409191	8471.049479431	98.32	UP_pEhEx_DOWN_U2AF84
EHI_144610A	1636.94872317426	639.790368569545	1.30043983806144	0.982696668336439	1.35533795128098	484	618	1654	1930	555.277679418432	715.828815534687	1177.9899508639	2119.4095793754	98.27	UP_pEhEx_DOWN_U2AF84
EHI_027610A	839.631711820258	346.683354690066	1.32154001570018	0.982191691136754	1.27613808633496	212	384	1143	797	243.220801728735	444.786836837087	814.052305826744	875.217323710981	98.22	UP_pEhEx_DOWN_U2AF84
EHI_001940A	1147.82175157628	479.322556626416	1.31218004822094	0.982051235916369	1.25982988027946	336	489	1316	1251	385.482025381391	566.408237534728	937.264072150477	1373.77273771949	98.21	UP_pEhEx_DOWN_U2AF84
EHI_118750A	20241.8111325969	7604.69348331066	1.31626121250049	0.982014523723894	1.4123763760952	3655	9396	19632	24403	4193.26429395531	10883.3779138575	13982.0427541475	26797.9025727968	98.2	UP_pEhEx_DOWN_U2AF84
EHI_092170A	154.625585399706	52.7650621714155	1.14856535890195	0.981743396555067	1.55112417160294	45	46	230	134	51.627056970722	53.2817564961094	163.807550603807	147.150716910002	98.17	UP_pEhEx_DOWN_U2AF84
EHI_005020A	1432.67655696516	632.83321606785	1.27099467623114	0.98159608391899	1.17881571063764	478	612	1570	1609	548.394071822336	708.879021209108	1118.16458455642	1766.90674259845	98.16	UP_pEhEx_DOWN_U2AF84
EHI_087570A	5264.97419209171	2386.33249045316	1.15067348249073	0.981366762863073	1.1416313900509	1395	2706	5229	6267	1600.43876609238	3134.35724083635	3724.12905264046	6882.04136473867	98.14	UP_pEhEx_DOWN_U2AF84
EHI_107170A	150.747336675138	542.791725925415	-1.15756619469049	0.98123514040925	-1.84826621555431	502	435	355	45	575.928502206721	503.860088604513	252.833393323267	49.4162855294782	98.12	DOWN_pEhEx_UP_U2AF84
EHI_148400A	27.6442978838869	1.17553493692836	1.13257313537931	0.980589092920431	4.55559260858682	2	0	38	26	2.29453586536542	0.579149527131624	27.0638561867159	28.5516316392541	98.06	UP_pEhEx_DOWN_U2AF84
EHI_017450A	8.97118366690421	30.7074564484693	-1.10999141021444	0.979917342978568	-1.77521876291079	28	25	13	8	32.1235021151159	28.9574763565812	9.25868764282386	8.78511742746279	97.99	DOWN_pEhEx_UP_U2AF84
