pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_167270A	10832.0173533916	3516.77204371675	1.6394843294433	0.996133745839569	1.62297822731618	4781	1688	11325	11496	5198.84224101101	1772.72240725893	8500.74757995872	13609.7686188362	99.61	UP_pEhEx_DOWN_EhMyb10
EHI_182850A	21616.4008333293	10568.4388133461	1.39000429764976	0.995352528813294	1.03236405670033	14151	5290	27582	19672	15387.7466121202	5555.51038767759	20703.5425828187	23289.0890979249	99.54	UP_pEhEx_DOWN_EhMyb10
EHI_186720A	14748.2800225424	5454.07896162618	1.39033848393917	0.995233483218694	1.43513922176992	8596	1433	17410	14346	9347.25954899198	1504.92370237088	13068.2574275569	16983.7978954265	99.52	UP_pEhEx_DOWN_EhMyb10
EHI_040310A	1370.04666246543	460.59202891744	1.88946547162815	0.994230287777082	1.57266368188343	380	468	1757	1241	413.21063618159	491.489387794539	1318.83562896137	1469.18257271883	99.42	UP_pEhEx_DOWN_EhMyb10
EHI_103510A	3201.0392109942	766.581126523656	1.34588364677517	0.993555968465558	2.06202996515574	1076	334	2698	3823	1170.0385382405	350.763793853367	2025.16706143299	4525.93471031756	99.36	UP_pEhEx_DOWN_EhMyb10
EHI_092930A	666.235938215406	145.551008198009	1.62814838288156	0.993437281726226	2.19450834551073	112	156	814	630	121.788398032469	163.829795931513	611.002960714031	745.838050614717	99.34	UP_pEhEx_DOWN_EhMyb10
EHI_096340A	2299.05893098776	1048.8207036923	1.34460653029316	0.993117823107315	1.13227537692197	863	1068	2553	2342	938.423102696612	1121.60398753113	1916.32746769401	2772.62335641217	99.31	UP_pEhEx_DOWN_EhMyb10
EHI_172280A	180.605192468407	15.7580346712663	1.33533972068477	0.989466420804345	3.51867985202639	17	12	135	227	18.4857389870711	12.6022919947318	101.333414860435	268.73847220562	98.95	UP_pEhEx_DOWN_EhMyb10
EHI_177520A	2192.21722428604	638.721756463603	1.32720049923998	0.985939447565672	1.77913126210625	839	336	2107	2448	912.325588832511	352.864175852489	1581.55188971064	2898.1135681029	98.59	UP_pEhEx_DOWN_EhMyb10
EHI_103310A	3042.92407377781	770.030031625709	1.51670702074103	0.985644652091567	1.9824717185879	1193	223	3240	3191	1297.26391832799	234.192592902099	2432.00195665044	3777.72891985962	98.56	UP_pEhEx_DOWN_EhMyb10
EHI_134810A	971.741516429713	278.237183700321	1.51519188596621	0.985612040561878	1.80425737253509	316	196	1181	923	343.617265877323	205.837435913952	886.479725556843	1092.71193764664	98.56	UP_pEhEx_DOWN_EhMyb10
EHI_015320A	7306.40696405852	16918.787186623	-1.68022951259838	0.985050025402978	-1.21139213480349	12107	19048	9253	6695	13165.1083480277	20004.0381596376	6945.46731632301	7926.00912518338	98.51	DOWN_pEhEx_UP_EhMyb10
EHI_144610A	1725.65363793762	449.352752578314	1.5104564565798	0.985031176257084	1.94122258042691	471	356	1654	1930	512.163709582971	373.867995843709	1241.52198651229	2284.86894870858	98.5	UP_pEhEx_DOWN_EhMyb10
EHI_156380A	23.6957177848759	2.17294887847976	1.50973378629641	0.984851600765749	3.44690022469079	2	2	25	25	2.17479282200837	2.10038199912196	18.7654471963769	29.5967480402665	98.49	UP_pEhEx_DOWN_EhMyb10
EHI_112830A	831.37266931572	1882.2579606906	-1.77899133654759	0.984629546151106	-1.17889713439769	1697	1768	984	807	1845.3117094741	1856.73768722381	738.608001649394	955.383026739804	98.46	DOWN_pEhEx_UP_EhMyb10
EHI_131470A	4501.66713877838	2214.43325219909	1.32325202616383	0.984274706065301	1.02352187338138	2810	1264	5832	4039	3055.58391492176	1327.44142344508	4377.6035219708	4781.65061338546	98.43	UP_pEhEx_DOWN_EhMyb10
EHI_163670A	3902.16747819484	1480.05742255847	1.32264613067057	0.984028612326903	1.39862254876862	1530	1194	3643	4428	1663.7165088364	1253.92805347581	2734.50096545604	5242.17601289201	98.4	UP_pEhEx_DOWN_EhMyb10
EHI_170160A	10.2115805077675	1.08647443923988	1.60493043727366	0.982688154316801	3.23248003938505	1	1	15	8	1.08739641100419	1.05019099956098	11.2592683178261	9.47095937288529	98.27	UP_pEhEx_DOWN_EhMyb10
EHI_058090A	3146.87896772682	1080.00379411098	1.60137591692379	0.980883174474921	1.54288531147316	1023	965	3209	3393	1112.40652845728	1013.43431457635	2408.73280212693	4016.87064402497	98.09	UP_pEhEx_DOWN_EhMyb10
