pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_126870A	53623.8338015274	12304.7920329457	4.00443993937742	1	2.12365409299043	7469	13491	68859	57090	10072.718416118	14845.1542137753	46500.779642436	60045.148720684	100	UP_pEhEx_DOWN_CDC5
EHI_130260A	20769.0475519414	8624.86269889326	1.92150562705771	1	1.26786166163582	4054	10981	26518	22211	5467.23797816874	12083.2138775084	17907.7197542531	23360.7076236664	100	UP_pEhEx_DOWN_CDC5
EHI_131470A	4123.95753989194	1508.78186617377	3.92935937110935	1	1.45064523715848	1205	1281	5832	4039	1625.06703593817	1409.57990866845	3938.37474948353	4248.07068983785	100	UP_pEhEx_DOWN_CDC5
EHI_131940A	7328.1377990746	3567.37739149668	2.17734927902983	1	1.03858278624177	2639	3300	9329	7855	3558.96423887205	3631.23629867752	6299.91392968654	8261.59823438383	100	UP_pEhEx_DOWN_CDC5
EHI_134810A	890.245362843547	201.778335924655	2.28436442938954	1	2.14143172904869	149	187	1181	923	200.941899049616	205.770056925059	797.534392856662	970.777233651976	100	UP_pEhEx_DOWN_CDC5
EHI_140550A	3362.91565501948	1106.31386491235	2.25628072685703	1	1.60395185420501	687	1193	4183	3669	926.490500987154	1312.74694070372	2824.79793845844	3858.91838599036	100	UP_pEhEx_DOWN_CDC5
EHI_140640A	37.7565962134266	0.0609275189815029	3.3448856139409	1	9.27541900131462	0	0	32	51	0.67430167466314	0.550187317981442	21.6097379944227	53.639912151951	100	UP_pEhEx_DOWN_CDC5
EHI_141940A	17648.0568436007	7810.77814325351	2.13299126726392	1	1.17597115479173	4985	8249	21731	19399	6722.7876963915	9076.99037205783	14675.03801115	20403.1501144254	100	UP_pEhEx_DOWN_CDC5
EHI_156690A	30443.0471503958	62229.5617898512	-2.85810867016926	1	-1.03148731661456	50016	52427	46465	27579	67451.7451199032	57689.3410396261	31378.0148722141	29006.571318405	100	DOWN_pEhEx_UP_CDC5
EHI_160980A	17800.5800129883	6296.42937480369	2.23549861147792	1	1.49931841907827	2712	8336	23229	18708	3657.41228337287	9172.7229653866	15686.6438710139	19676.3818929157	100	UP_pEhEx_DOWN_CDC5
EHI_161180A	11089.9948327006	14865.8941079779	-4.06975940119172	1	-0.422747543342683	10952	13810	16421	10378	14769.9038818214	15196.1737226474	11089.1721127005	10915.1962414303	100	DOWN_pEhEx_UP_CDC5
EHI_167270A	9924.45728400321	2571.79699202616	2.43009654323979	1	1.94821144481881	1784	2532	11325	11496	2405.90837519808	2786.14857825802	7647.82133708865	12091.0672568398	100	UP_pEhEx_DOWN_CDC5
EHI_170060A	641.512408040633	153.054876824326	1.92125061116209	1	2.06742815544848	116	138	839	673	156.437988521848	151.851699762878	566.580318041269	707.836487809079	100	UP_pEhEx_DOWN_CDC5
EHI_170580A	4351.12249863591	1803.91233195588	2.22871328776633	1	1.27025840714217	936	2183	6302	4164	1262.2927349694	2402.11783030697	4255.76777627662	4379.5410627593	100	UP_pEhEx_DOWN_CDC5
EHI_174180A	1061.36374867474	300.765453978047	2.13020488174211	1	1.81920840564483	194	315	1430	1086	261.629049769298	346.618010328308	965.685166625763	1142.21459994155	100	UP_pEhEx_DOWN_CDC5
EHI_182920A	15293.4223382624	23499.1070898722	-4.08368258626923	1	-0.619694651975595	17554	21518	23154	13978	23673.3831940735	23677.8614166493	15635.9960475895	14701.5429815681	100	DOWN_pEhEx_UP_CDC5
EHI_186720A	13511.6452092615	3286.93763539357	3.75196275828322	1	2.0393873623916	2057	3524	17410	14346	2774.07708956416	3877.7202171332	11757.0480775906	15088.5917594488	100	UP_pEhEx_DOWN_CDC5
EHI_188940A	11598.0387341238	9150.34230258993	1.9239498978883	1	0.341983242685612	6427	8906	16353	11391	8667.47372612	9799.93650788544	11043.2514194623	11980.6321435858	100	UP_pEhEx_DOWN_CDC5
EHI_194540A	39268.9322377623	22196.7798146336	2.07951248750122	1	0.823037976608066	16628	20265	50011	42079	22424.5764925974	22299.0919977878	33772.643963721	44257.1345772931	100	UP_pEhEx_DOWN_CDC5
EHI_197480A	20034.6803372952	4100.14992061942	2.67939628222346	1	2.28875092360493	2603	4348	22670	23333	3510.4145182963	4784.42891716662	15309.1487604238	24540.7856910093	100	UP_pEhEx_DOWN_CDC5
EHI_143430A	120058.398912873	232390.177792784	-5.43072959294397	1	-0.9528127594928	165102	223763	160534	123647	222657.110180467	246223.129666963	108409.302474895	130047.337604947	100	DOWN_pEhEx_UP_CDC5
EHI_182850A	19802.8919001416	10452.8551450785	4.60206195158893	1	0.921814067488642	7337	10180	27582	19672	9894.70277400691	11201.8137941022	18626.2435425677	20690.2814088859	100	UP_pEhEx_DOWN_CDC5
EHI_025600A	68226.3450868208	122425.585931567	-3.13305496699587	1	-0.843504263114849	94921	107628	90687	70620	128010.7785214	118431.121319413	61241.3221718815	74275.5018857016	100	DOWN_pEhEx_UP_CDC5
EHI_155680A	515.92185392233	66.3151204509339	1.86926994395747	1	2.95974279831641	47	64	550	623	63.3843574183351	70.4239767016245	371.41737177914	655.2483386405	100	UP_pEhEx_DOWN_CDC5
