pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_113900A	642.125926388484	247.804902676321	1.33820266911511	0.981639738904543	1.37365151928929	168	249	824	684	226.565362686815	273.993284354758	556.450753356384	719.405880626167	98.16	UP_pEhEx_DOWN_CDC5
EHI_114920A	2021.55023101341	121.68184357007	2.64688992842537	1	4.05427623045641	92	110	1963	2567	124.071508138018	121.041209955917	1325.62236509537	2699.87557831487	100	UP_pEhEx_DOWN_CDC5
EHI_115360A	87.673905605413	21.7792685252782	1.09735545130201	0.984948378612015	2.00919201630241	17	19	107	97	22.9262569385467	20.9071180832948	72.2575614188508	102.021009387044	98.49	UP_pEhEx_DOWN_CDC5
EHI_117850A	6461.69219174537	1153.35485870886	2.44478314363542	1	2.48607556542115	716	1244	7024	7714	965.599998117616	1368.86604713783	4743.33748977578	8113.29965372844	100	UP_pEhEx_DOWN_CDC5
EHI_118270A	39145.3327521665	4818.45750327811	1.72331765855614	0.999999999998492	3.02219702077632	3612	4396	25137	58145	4871.15529776652	4837.24689969284	16975.1244989313	61154.758668141	100	UP_pEhEx_DOWN_CDC5
EHI_118670A	142.923195559844	18.0370201899202	1.30309930598905	0.978652467495576	2.98620715338593	10	21	138	182	13.4860334932628	23.1078673552206	93.1919951009478	191.420862973629	97.87	UP_pEhEx_DOWN_CDC5
EHI_118750A	19551.5179478367	4485.36647889059	2.03713143399254	1	2.12398284923959	2920	4663	19632	24403	3937.92178003274	5131.04692749493	13257.5742595783	25666.1720832169	100	UP_pEhEx_DOWN_CDC5
EHI_119540A	3552.98493731981	861.842951099449	2.00482857693925	1	2.04353466846245	716	696	3831	4262	965.599998117616	765.860746630167	2587.09082051979	4482.61383512971	100	UP_pEhEx_DOWN_CDC5
EHI_126210A	169.12370772594	36.3833169959661	1.2224401133559	0.989170143514206	2.216729928825	22	40	202	190	29.6692736851781	44.0149854385153	136.411471089793	199.834966840602	98.92	UP_pEhEx_DOWN_CDC5
EHI_126870A	53623.8338015274	12304.7920329457	4.00443993937742	1	2.12365409299043	7469	13491	68859	57090	10072.718416118	14845.1542137753	46500.779642436	60045.148720684	100	UP_pEhEx_DOWN_CDC5
EHI_131470A	4123.95753989194	1508.78186617377	3.92935937110935	1	1.45064523715848	1205	1281	5832	4039	1625.06703593817	1409.57990866845	3938.37474948353	4248.07068983785	100	UP_pEhEx_DOWN_CDC5
EHI_134490A	634.814086175178	221.633903641584	1.397981727991	0.997173012653073	1.51815555183368	157	214	789	693	211.730725844226	235.480172096057	532.815102424984	728.871747476511	99.72	UP_pEhEx_DOWN_CDC5
