logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000610A	-0.341597532525519	8.03172544181178	-0.703684742990971	0.501164074671789	0.999593478972769	-4.607868049946	967	1412	5426	1952	2279	5326	128.922713663261	117.342421028128	859.532386321784	172.862522508726	309.898002444249	460.373216496713	0.04	UP_pEhEx_DOWN_UmasM
EHI_000620A	0.115085428931733	1.96376656646435	0.158666085291684	0.877779134121711	0.999593478972769	-4.62047634449701	5	65	91	25	28	80	0.666611756273324	5.40174034477925	14.4153054101147	2.21391550344168	3.8074348698723	6.9151065189142	0.04	DOWN_pEhEx_UP_UmasM
EHI_000640A	1.16778037746661	-0.0928371221436716	1.27501034250099	0.237323209305504	0.999593478972769	-4.58708884332153	9	0	293	2	0	213	1.19990116129198	0	46.4141152215781	0.177113240275334	0	18.4114711066091	0.04	DOWN_pEhEx_UP_UmasM
EHI_000650A	-0.0718087231446406	2.8381504488826	-0.208953158630123	0.839594232572966	0.999593478972769	-4.62236537456368	68	95	29	103	53	68	9.06591988531721	7.8948512731389	4.5938885372893	9.12133187417972	7.20693028940114	5.87784054107707	0.04	UP_pEhEx_DOWN_UmasM
EHI_000660A	0.23494999293769	1.18387414512013	0.52056026648639	0.616465353555987	0.999593478972769	-4.61207368569089	23	24	15	33	9	26	3.06641407885729	1.99448874268772	2.3761492434255	2.92236846454302	1.22381835103038	2.24740961864712	0.04	DOWN_pEhEx_UP_UmasM
EHI_000670A	0.459599252351691	1.6274530721833	1.13287366137458	0.289376277194183	0.999593478972769	-4.58990677925434	18	19	79	11	10	137	2.39980232258397	1.57897025462778	12.5143860153743	0.974122821514339	1.35979816781154	11.8421199136406	0.04	DOWN_pEhEx_UP_UmasM
EHI_000690A	-3.34669339845208	0.304830648450705	-1.67359852949043	0.13191061483944	0.999593478972769	-4.56781233455068	0	282	0	184	298	0	0	23.4352427265807	0	16.2944181053308	40.5219854007838	0	0.04	UP_pEhEx_DOWN_UmasM
EHI_000700A	-0.303377154643555	2.30501469887653	-0.803984210099109	0.44413934495303	0.999593478972769	-4.60439733820001	60	69	11	79	52	39	7.99934107527989	5.7341551352272	1.7425094451787	6.99597299087571	7.07095047261999	3.37111442797067	0.04	UP_pEhEx_DOWN_UmasM
EHI_000710A	0.0646331902902926	1.33600014306366	0.139402176663063	0.892503353608437	0.999593478972769	-4.61784194272984	28	79	3	46	26	14	3.73302583513061	6.56519211134708	0.4752298486851	4.07360452633269	3.53547523630999	1.21014364080999	0.04	DOWN_pEhEx_UP_UmasM
EHI_000720A	0.180812095097543	4.21099464133015	0.525472727704768	0.613196249456247	0.999593478972769	-4.61599911617115	163	195	136	218	107	215	21.7315432545104	16.2052210343377	21.5437531403912	19.3053431900114	14.5498403955834	18.5843487695819	0.04	DOWN_pEhEx_UP_UmasM
EHI_000730A	-0.356787859408563	6.85742246138659	-0.696463886071733	0.505442615311803	0.999593478972769	-4.60860684572996	252	1015	2457	916	835	2757	33.5972325161755	84.3502530761682	389.213246073097	81.1178640461032	113.543147012263	238.311858408081	0.04	UP_pEhEx_DOWN_UmasM
EHI_000740A	0.00757821809934998	2.96283597059728	0.019689312262376	0.98476299695664	0.999593478972769	-4.6235829385639	114	93	25	124	79	45	15.1987480430318	7.72864387791492	3.9602487390425	10.9810208970707	10.7424055257111	3.88974741688924	0.04	DOWN_pEhEx_UP_UmasM
EHI_000770A	0.0204218973136344	0.579976531274374	0.0408807506803908	0.968371133452364	0.999593478972769	-4.61482022922377	11	10	20	8	4	64	1.46654586380131	0.831036976119884	3.168198991234	0.708452961101338	0.543919267124615	5.53208521513136	0.04	DOWN_pEhEx_UP_UmasM
EHI_000780A	0.122549792138623	0.51520193406646	0.279722302327734	0.78663326765727	0.999593478972769	-4.61393632253667	26	33	2	28	29	2	3.46638113262128	2.74242202119562	0.3168198991234	2.47958536385468	3.94341468665346	0.172877662972855	0.04	DOWN_pEhEx_UP_UmasM
EHI_000790A	-0.0796590869196203	3.24599514894084	-0.225291038005335	0.827279187279894	0.999593478972769	-4.62231276584865	44	87	115	71	40	306	5.86618345520525	7.23002169224299	18.2171441995955	6.28752002977437	5.43919267124615	26.4502824348468	0.04	UP_pEhEx_DOWN_UmasM
EHI_000800A	0.179544863096564	5.21146181540176	0.458084080226941	0.65881517118995	0.999593478972769	-4.61736535132091	336	263	392	344	211	558	44.7963100215674	21.8562724719529	62.0967002281864	30.4634773273575	28.6917413408234	48.2328679694266	0.04	DOWN_pEhEx_UP_UmasM
EHI_000900A	-0.674883618976894	1.91686592210641	-1.41530187564974	0.193901171694258	0.999593478972769	-4.57511113922245	9	39	38	27	35	112	1.19990116129198	3.24104420686755	6.0195780833446	2.39102874371701	4.75929358734038	9.68114912647988	0.04	UP_pEhEx_DOWN_UmasM
EHI_001040A	0.488650913384293	0.29030726510625	0.935043557705565	0.376541891176961	0.999593478972769	-4.59741215306989	3	15	35	6	2	58	0.399967053763994	1.24655546417983	5.5443482346595	0.531339720826003	0.271959633562307	5.0134522262128	0.04	DOWN_pEhEx_UP_UmasM
EHI_001050A	0.0458792984362797	6.31726762974766	0.128736676910316	0.900674895402375	0.999593478972769	-4.62210085131458	414	786	933	774	494	1207	55.1954534194312	65.3195063230229	147.796482941066	68.5428239865544	67.1740294898899	104.331669604118	0.04	DOWN_pEhEx_UP_UmasM
