logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_048990A	1.20649900431165	13.1438186422894	3.87256251532806	0.00733601035442814	0.367305026866252	-2.33988158516703	77714	77874	212030	61717	45200	75547	13114.9416185975	10859.6549280426	18220.8202240468	5557.05383651424	6302.05323256606	6047.94082896872	63.27	DOWN_pEhEx_UP_CDC5
EHI_049660A	-1.85662495729173	3.32940766130256	-4.28028863224488	0.00453702360484498	0.367305026866252	-2.20075075161611	38	38	50	137	141	348	6.41284429455058	5.29916130243236	4.29675522898807	12.3356024369696	19.6590598626508	27.8592585871195	63.27	UP_pEhEx_DOWN_CDC5
EHI_049740A	1.33987291565351	2.22268120232765	3.54283225643574	0.0110222293099241	0.367305026866252	-2.7628682719357	48	51	80	36	29	23	8.10043489837968	7.11203227431712	6.87480836638091	3.24147217321828	4.04335273770831	1.84127283765445	63.27	DOWN_pEhEx_UP_CDC5
EHI_050520A	-1.5323258364479	6.49529200786297	-4.51849280455217	0.00346616864255421	0.367305026866252	-1.92146090843487	219	359	936	1211	1190	2488	36.9582342238573	50.0631291466636	80.4352578866566	109.039522271315	165.916888202514	199.177687829751	63.27	UP_pEhEx_DOWN_CDC5
EHI_050640A	4.22614221048802	0.261688370374765	4.2334793735567	0.00478824356311121	0.367305026866252	-3.1475448718283	28	35	75	4	8	0	4.72525369072148	4.88080646276665	6.4451328434821	0.360163574802032	1.1154076517816	0	63.27	DOWN_pEhEx_UP_CDC5
EHI_052720A	-1.87132934112989	0.944687106820872	-3.27249949165547	0.0155795964491312	0.367305026866252	-3.19093567516716	6	5	13	46	45	24	1.01255436229746	0.697258066109522	1.1171563595369	4.14188111022336	6.27416804127152	1.92132817842203	63.27	UP_pEhEx_DOWN_CDC5
EHI_054690A	-3.87838792235511	1.06329916110882	-3.91420905412673	0.00697655517245067	0.367305026866252	-2.95506145944931	8	4	4	26	30	294	1.35007248306328	0.557806452887617	0.343740418319045	2.34106323621321	4.18277869418101	23.5362701856699	63.27	UP_pEhEx_DOWN_CDC5
EHI_054940A	1.73973258922601	1.80149673663728	3.66862545064641	0.00941816044154666	0.367305026866252	-2.75438761490582	54	62	44	38	27	5	9.11298926067714	8.64600001975807	3.7811446015095	3.4215539606193	3.76450082476291	0.400276703837923	63.27	DOWN_pEhEx_UP_CDC5
EHI_055990A	-1.32776145535782	2.37513293176586	-3.40191508825267	0.013183159679356	0.367305026866252	-2.85676328534498	17	24	42	64	46	175	2.86890402650947	3.3468387173257	3.60927439234998	5.7626171968325	6.41359399774422	14.0096846343273	63.27	UP_pEhEx_DOWN_CDC5
EHI_056460A	-1.95846783483189	4.28645963809817	-5.03300616015936	0.00199234661814256	0.367305026866252	-1.71275934260987	63	110	68	387	305	477	10.6318208041233	15.3396774544095	5.84358711142377	34.8458258620966	42.5249167241736	38.1863975461379	63.27	UP_pEhEx_DOWN_CDC5
EHI_058090A	-1.28331568305106	8.43644704492827	-3.61854532742699	0.0100238235086764	0.367305026866252	-2.54724829305393	841	862	7444	3209	3393	14453	141.926369782027	120.207290597282	639.700918491743	288.94122788493	473.072270311873	1157.0398401139	63.27	UP_pEhEx_DOWN_CDC5
EHI_058110A	2.70047179297114	1.70744651784296	3.45613974975271	0.0123012148200374	0.367305026866252	-2.91698709298246	51	30	176	26	12	6	8.60671207952841	4.18354839665713	15.124578406038	2.34106323621321	1.67311147767241	0.480332044605508	63.27	DOWN_pEhEx_UP_CDC5
EHI_062490A	-1.53586827335262	1.55429642662469	-4.10251372893172	0.00557724002093853	0.367305026866252	-2.53988694301008	14	16	10	71	44	39	2.36262684536074	2.23122581155047	0.859351045797613	6.39290345273606	6.13474208479882	3.1221582899358	63.27	UP_pEhEx_DOWN_CDC5
EHI_062500A	-1.54132950534234	3.6064780997473	-4.40547282223242	0.00393434700981186	0.367305026866252	-2.10101201220971	39	31	143	157	137	415	6.58160335493349	4.32300000987903	12.2887199549059	14.1364203109797	19.10135603676	33.2229664185476	63.27	UP_pEhEx_DOWN_CDC5
EHI_063340A	-3.07664012799427	1.87896270851784	-3.75263779021797	0.00849048187775015	0.367305026866252	-2.76796804321434	13	13	7	64	44	310	2.19386778497783	1.81287097188476	0.601545732058329	5.7626171968325	6.13474208479882	24.8171556379513	63.27	UP_pEhEx_DOWN_CDC5
EHI_065340A	-2.77484328848882	4.44933212348029	-5.33953532498978	0.00145726714247787	0.367305026866252	-1.58788038759787	62	151	29	696	511	537	10.4630617437404	21.0571935965075	2.49211803281308	62.6684620155535	71.2466637575499	42.989717992193	63.27	UP_pEhEx_DOWN_CDC5
