logFC	logCPM	PValue	FDR	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_103540A	-0.80424611358117	0.725433077510612	0.245150852555526	0.938227380685097	5	9	20	11	0.777237232182322	1.20934431786944	1.90545180927525	1.59240796208035	6.18	UP_pEhEx_DOWN_CmasM
EHI_107110A	0.915706291092428	0.41759250936922	0.22371885214804	0.938227380685097	8	12	7	6	1.24357957149171	1.61245909049258	0.666908133246336	0.868586161134737	6.18	DOWN_pEhEx_UP_CmasM
EHI_109990A	0.686094442139751	2.45979032494861	0.248452851803418	0.938227380685097	59	29	55	19	9.1713993397514	3.89677613535707	5.23999247550693	2.75052284359333	6.18	DOWN_pEhEx_UP_CmasM
EHI_111550A	0.525839155778416	8.06513718713473	0.23357976403236	0.938227380685097	1770	2653	2562	1344	275.141980192542	356.487830589735	244.088376768159	194.563300094181	6.18	DOWN_pEhEx_UP_CmasM
EHI_111800A	-0.60651761179274	1.235233658825	0.232750999270686	0.938227380685097	9	14	27	17	1.39902701792818	1.88120227224134	2.57235994252158	2.46099412321509	6.18	UP_pEhEx_DOWN_CmasM
EHI_112830A	0.502245743744468	6.99339230910691	0.239958762861863	0.938227380685097	1086	963	984	807	168.81592683	129.39984201203	93.7482290163421	116.824838672622	6.18	DOWN_pEhEx_UP_CmasM
EHI_113560A	-0.48938793422162	2.82759233672815	0.244497075120697	0.938227380685097	35	44	91	50	5.44066062527625	5.9123499984728	8.66980573220237	7.23821800945614	6.18	UP_pEhEx_DOWN_CmasM
EHI_114390A	0.497047829248154	3.42568237662252	0.242695786985506	0.938227380685097	92	77	96	57	14.3011650721547	10.3466124973274	9.14616868452118	8.25156853078	6.18	DOWN_pEhEx_UP_CmasM
EHI_120260A	0.915706291092428	0.41759250936922	0.22371885214804	0.938227380685097	8	12	7	6	1.24357957149171	1.61245909049258	0.666908133246336	0.868586161134737	6.18	DOWN_pEhEx_UP_CmasM
EHI_121720A	0.805525564253769	0.51772691259802	0.233390131988952	0.938227380685097	11	10	9	6	1.70992191080111	1.34371590874382	0.857453314173861	0.868586161134737	6.18	DOWN_pEhEx_UP_CmasM
EHI_121780A	-0.475602423896415	5.44704033355349	0.233524018266351	0.938227380685097	201	307	506	364	31.2449367337293	41.2520783984352	48.2079307746637	52.6942271088407	6.18	UP_pEhEx_DOWN_CmasM
EHI_122740A	-0.704831288774211	4.45367115552764	0.242990292318498	0.938227380685097	54	182	216	229	8.39416210756907	24.4556295391375	20.5788795401727	33.1510384833091	6.18	UP_pEhEx_DOWN_CmasM
EHI_124550A	0.80889294247124	5.79330478751536	0.223099312641228	0.938227380685097	339	654	660	119	52.6966843419614	87.8790204318457	62.8799097060831	17.2269588625056	6.18	DOWN_pEhEx_UP_CmasM
EHI_125810A	-0.626317887853684	1.40551464074117	0.245374667301883	0.938227380685097	10	16	25	24	1.55447446436464	2.14994545399011	2.38181476159406	3.47434464453895	6.18	UP_pEhEx_DOWN_CmasM
EHI_126220A	-0.572680751475297	1.52246475409182	0.238316083411075	0.938227380685097	14	15	36	19	2.1762642501105	2.01557386311573	3.42981325669544	2.75052284359333	6.18	UP_pEhEx_DOWN_CmasM
EHI_127240A	-0.517503525245487	4.83837001879795	0.223467629596756	0.938227380685097	118	210	354	228	18.3427986795028	28.2180340836202	33.7264970241719	33.00627412312	6.18	UP_pEhEx_DOWN_CmasM
EHI_128450A	-0.632330647296202	1.14508619498529	0.235661069842402	0.938227380685097	10	11	20	20	1.55447446436464	1.4780874996182	1.90545180927525	2.89528720378246	6.18	UP_pEhEx_DOWN_CmasM
EHI_133970A	0.64583781798164	2.25276537542607	0.246697745428112	0.938227380685097	50	25	39	23	7.77237232182322	3.35928977185954	3.71563102808673	3.32958028434982	6.18	DOWN_pEhEx_UP_CmasM
EHI_134790A	0.624015809877347	1.69347966043719	0.230691464299408	0.938227380685097	29	21	29	13	4.50797594665747	2.82180340836202	2.76290512344911	1.8819366824586	6.18	DOWN_pEhEx_UP_CmasM
EHI_134850A	0.685507821530109	3.35509090441251	0.241027347337109	0.938227380685097	52	123	108	34	8.08326721469614	16.527705677549	10.2894397700863	4.92198824643017	6.18	DOWN_pEhEx_UP_CmasM
EHI_135150A	-0.535644004828405	4.91298735600395	0.22963090563296	0.938227380685097	117	227	404	222	18.1873512330663	30.5023511284847	38.49012654736	32.1376879619853	6.18	UP_pEhEx_DOWN_CmasM
EHI_135170A	0.831068874893637	0.701233794536416	0.245018931591425	0.938227380685097	9	16	14	4	1.39902701792818	2.14994545399011	1.33381626649267	0.579057440756491	6.18	DOWN_pEhEx_UP_CmasM
EHI_135780A	0.894012354208708	0.503448476832013	0.244116935713211	0.938227380685097	14	7	12	3	2.1762642501105	0.940601136120672	1.14327108556515	0.434293080567368	6.18	DOWN_pEhEx_UP_CmasM
EHI_139440A	-0.820563444271378	3.06129244735088	0.234119758285014	0.938227380685097	32	50	47	113	4.97431828596686	6.71857954371909	4.47781175179683	16.3583727013709	6.18	UP_pEhEx_DOWN_CmasM
EHI_140000A	0.523445624907165	2.19704814332007	0.248521698434961	0.938227380685097	36	35	45	19	5.59610807171272	4.70300568060336	4.28726657086931	2.75052284359333	6.18	DOWN_pEhEx_UP_CmasM
EHI_140550A	-0.967743793969266	8.45749965225145	0.246093203796761	0.938227380685097	395	3080	4183	3669	61.4017413424034	413.864499893096	398.525245909918	531.140437533891	6.18	UP_pEhEx_DOWN_CmasM
EHI_140980A	0.672222474416857	1.54705209492961	0.224584827010279	0.938227380685097	21	25	30	8	3.26439637516575	3.35928977185954	2.85817771391287	1.15811488151298	6.18	DOWN_pEhEx_UP_CmasM
EHI_142710A	-0.703286305622951	4.17686314309162	0.225357910947347	0.938227380685097	45	149	259	134	6.9951350896409	20.0213670402829	24.6756009301144	19.3984242653424	6.18	UP_pEhEx_DOWN_CmasM
EHI_148270A	-0.511449909738838	5.87262182933256	0.232222973122861	0.938227380685097	297	372	556	582	46.1678915916299	49.98623180527	52.9715602978519	84.2528576300694	6.18	UP_pEhEx_DOWN_CmasM
EHI_148760A	-0.561863043458635	1.71680746128985	0.233138707491221	0.938227380685097	13	21	39	24	2.02081680367404	2.82180340836202	3.71563102808673	3.47434464453895	6.18	UP_pEhEx_DOWN_CmasM
EHI_148830A	-0.638828736218608	1.55366470870897	0.224687302215115	0.938227380685097	11	18	28	27	1.70992191080111	2.41868863573887	2.66763253298535	3.90863772510631	6.18	UP_pEhEx_DOWN_CmasM
EHI_151220A	0.982650913137344	0.701696827045053	0.245246660956365	0.938227380685097	19	6	13	4	2.95350148229282	0.806229545246291	1.23854367602891	0.579057440756491	6.18	DOWN_pEhEx_UP_CmasM
EHI_152120A	-0.649378636888227	3.08074358346963	0.234630996171354	0.938227380685097	52	35	73	91	8.08326721469614	4.70300568060336	6.95489910385465	13.1735567772102	6.18	UP_pEhEx_DOWN_CmasM
EHI_152370A	0.491357642022728	2.43391973629548	0.237592347814774	0.938227380685097	38	46	50	26	5.90700296458564	6.18109318022156	4.76362952318812	3.76387336491719	6.18	DOWN_pEhEx_UP_CmasM
EHI_152730A	0.542187584787322	2.46212726350035	0.248244991474567	0.938227380685097	40	47	57	21	6.21789785745857	6.31546477109594	5.43053765643445	3.04005156397158	6.18	DOWN_pEhEx_UP_CmasM
EHI_153050A	0.883045830467947	0.763608879547778	0.247435165298521	0.938227380685097	16	10	16	3	2.48715914298343	1.34371590874382	1.5243614474202	0.434293080567368	6.18	DOWN_pEhEx_UP_CmasM
EHI_153690A	-0.804839192254083	7.46941632216926	0.225058692221089	0.938227380685097	357	1504	1996	1796	55.4947383778178	202.09487267507	190.16409056567	259.996790899664	6.18	UP_pEhEx_DOWN_CmasM
EHI_153700A	0.611977492131718	1.93482501804195	0.24579688898625	0.938227380685097	31	29	40	12	4.81887083953039	3.89677613535707	3.81090361855049	1.73717232226947	6.18	DOWN_pEhEx_UP_CmasM
EHI_156230A	0.609882078152725	1.72385715094779	0.223835291611535	0.938227380685097	29	22	29	14	4.50797594665747	2.9561749992364	2.76290512344911	2.02670104264772	6.18	DOWN_pEhEx_UP_CmasM
EHI_157890A	0.753607643019811	3.53100732442739	0.225064637377114	0.938227380685097	108	87	133	28	16.7883242151381	11.6903284060712	12.6712545316804	4.05340208529544	6.18	DOWN_pEhEx_UP_CmasM
EHI_158060A	-0.637120710274404	1.68811549901187	0.230461684537505	0.938227380685097	14	18	28	32	2.1762642501105	2.41868863573887	2.66763253298535	4.63245952605193	6.18	UP_pEhEx_DOWN_CmasM
EHI_163490A	0.87393027015612	1.14200989606633	0.242167265650782	0.938227380685097	21	14	22	4	3.26439637516575	1.88120227224134	2.09599699020277	0.579057440756491	6.18	DOWN_pEhEx_UP_CmasM
EHI_165150A	0.803540632884661	1.30269773290001	0.235575284612109	0.938227380685097	12	28	12	15	1.86536935723757	3.76240454448269	1.14327108556515	2.17146540283684	6.18	DOWN_pEhEx_UP_CmasM
EHI_166390A	-0.497522477719724	3.76830656404765	0.234777151744847	0.938227380685097	61	94	173	102	9.48229423262432	12.6309295421919	16.4821581502309	14.7659647392905	6.18	UP_pEhEx_DOWN_CmasM
EHI_166440A	0.493118626591584	2.96062397805649	0.247992988578426	0.938227380685097	53	70	69	41	8.23871466113261	9.40601136120672	6.5738087419996	5.93533876775403	6.18	DOWN_pEhEx_UP_CmasM
EHI_167020A	0.541340621736216	5.54432082350703	0.248469055589926	0.938227380685097	406	350	513	184	63.1116632532045	47.0300568060336	48.8748389079101	26.6366422747986	6.18	DOWN_pEhEx_UP_CmasM
EHI_170100A	-0.531471236278756	2.6956891401617	0.234157789252674	0.938227380685097	27	44	71	55	4.19708105378454	5.9123499984728	6.76435392292713	7.96203981040175	6.18	UP_pEhEx_DOWN_CmasM
EHI_170630A	-0.735049097244761	0.86417597409686	0.236331036643939	0.938227380685097	8	8	17	16	1.24357957149171	1.07497272699505	1.61963403788396	2.31622976302596	6.18	UP_pEhEx_DOWN_CmasM
EHI_174160A	-0.681862774238812	1.03531802010984	0.229711845162791	0.938227380685097	7	12	22	16	1.08813212505525	1.61245909049258	2.09599699020277	2.31622976302596	6.18	UP_pEhEx_DOWN_CmasM
EHI_174180A	-0.876277324746208	6.82796795626859	0.230393016652635	0.938227380685097	173	989	1430	1086	26.8924082335083	132.893503374764	136.23980436318	157.214095165387	6.18	UP_pEhEx_DOWN_CmasM
EHI_174960A	-0.535972161955282	4.44574618612408	0.236267731067777	0.938227380685097	83	165	251	187	12.9021380542265	22.171312494273	23.9134202064043	27.070935355366	6.18	UP_pEhEx_DOWN_CmasM
EHI_178960A	-0.588022674688125	9.92586615462344	0.246202390702307	0.938227380685097	5550	5144	8458	10570	862.733327722377	691.20746345782	805.815570142502	1530.15928719903	6.18	UP_pEhEx_DOWN_CmasM
EHI_181540A	0.53536461196351	3.70318083005765	0.224415530219865	0.938227380685097	99	111	133	56	15.38929719721	14.9152465870564	12.6712545316804	8.10680417059087	6.18	DOWN_pEhEx_UP_CmasM
EHI_181600A	0.561860846149108	1.59894923023185	0.221322913404018	0.938227380685097	23	23	23	16	3.57529126803868	3.09054659011078	2.19126958066653	2.31622976302596	6.18	DOWN_pEhEx_UP_CmasM
EHI_185240A	0.48120972127643	4.59703829363527	0.246879663791697	0.938227380685097	155	236	188	153	24.094354197652	31.7116954463541	17.9112470071873	22.1489471089358	6.18	DOWN_pEhEx_UP_CmasM
EHI_185290A	-0.550047820872679	5.45096272611985	0.223879727716854	0.938227380685097	230	259	387	460	35.7529126803868	34.8022420364649	36.870492509476	66.5916056869965	6.18	UP_pEhEx_DOWN_CmasM
EHI_186120A	0.526890743174367	3.2746600230574	0.247353229896552	0.938227380685097	78	76	99	41	12.1249008220442	10.212240906453	9.43198645591247	5.93533876775403	6.18	DOWN_pEhEx_UP_CmasM
EHI_186720A	-1.04412437288034	10.4377796267697	0.225382128743231	0.938227380685097	1381	11883	17410	14346	214.672923528757	1596.73761436028	1658.6957999741	2076.78951127315	6.18	UP_pEhEx_DOWN_CmasM
EHI_187280A	0.490355110389768	5.13933567649712	0.24424106530742	0.938227380685097	301	261	355	168	46.7896813773758	35.0709852182136	33.8217696146356	24.3204125117726	6.18	DOWN_pEhEx_UP_CmasM
EHI_187760A	-0.683700060185398	3.02393030372225	0.234694901099029	0.938227380685097	21	65	87	77	3.26439637516575	8.73415340683482	8.28871537034732	11.1468557345625	6.18	UP_pEhEx_DOWN_CmasM
EHI_188230A	-0.60485999343205	2.07856375238602	0.227698709775161	0.938227380685097	15	29	57	28	2.33171169654696	3.89677613535707	5.43053765643445	4.05340208529544	6.18	UP_pEhEx_DOWN_CmasM
EHI_191900A	-0.811068547176962	2.93626623457802	0.239919673311088	0.938227380685097	24	52	46	101	3.73073871447514	6.98732272546785	4.38253916133307	14.6212003791014	6.18	UP_pEhEx_DOWN_CmasM
EHI_194070A	-0.682878750466782	3.07009126604727	0.24419837600182	0.938227380685097	21	68	98	74	3.26439637516575	9.13726817945796	9.33671386544871	10.7125626539951	6.18	UP_pEhEx_DOWN_CmasM
EHI_194260A	0.683632560221946	1.12050579736069	0.248554210993523	0.938227380685097	18	15	21	6	2.79805403585636	2.01557386311573	2.00072439973901	0.868586161134737	6.18	DOWN_pEhEx_UP_CmasM
EHI_198610A	-0.49981074347629	6.72898666970004	0.237597583330004	0.938227380685097	604	606	1082	1001	93.8902576476245	81.4291840698754	103.084942881791	144.909124549312	6.18	UP_pEhEx_DOWN_CmasM
EHI_199700A	0.665937985681508	1.42467451676508	0.237066354604546	0.938227380685097	15	27	16	16	2.33171169654696	3.62803295360831	1.5243614474202	2.31622976302596	6.18	DOWN_pEhEx_UP_CmasM
EHI_200820A	0.901789285263547	0.419345121789232	0.22991137797727	0.938227380685097	9	11	12	2	1.39902701792818	1.4780874996182	1.14327108556515	0.289528720378246	6.18	DOWN_pEhEx_UP_CmasM
EHI_009840A	-1.49084541184912	1.74221313747824	0.256851288532658	0.938436923597661	21	0	31	43	3.26439637516575	0	2.95345030437663	6.22486748813228	6.16	UP_pEhEx_DOWN_CmasM
EHI_012580A	0.676427104067119	0.947016277112306	0.253897996955029	0.938436923597661	13	16	16	7	2.02081680367404	2.14994545399011	1.5243614474202	1.01335052132386	6.16	DOWN_pEhEx_UP_CmasM
EHI_012590A	0.488079679676024	3.26361993583527	0.256775023005334	0.938436923597661	77	74	93	46	11.9694533756078	9.94349772470425	8.8603509131299	6.65916056869965	6.16	DOWN_pEhEx_UP_CmasM
EHI_017000A	-0.440406422837246	5.85491822912855	0.256194535975912	0.938436923597661	289	393	674	473	44.9243120201382	52.808035213632	64.2137259725758	68.4735423694551	6.16	UP_pEhEx_DOWN_CmasM
EHI_022270A	0.961037429456085	0.85236509876106	0.257404452818275	0.938436923597661	22	6	13	6	3.41984382160222	0.806229545246291	1.23854367602891	0.868586161134737	6.16	DOWN_pEhEx_UP_CmasM
EHI_049670A	0.779400339908721	8.17751682908751	0.253204308574494	0.938436923597661	1276	3965	1257	2116	198.350941652928	532.783357816924	119.757646212949	306.321386160184	6.16	DOWN_pEhEx_UP_CmasM
EHI_060980A	0.45998331033816	4.37135669374595	0.255396487019359	0.938436923597661	172	154	191	112	26.7369607870719	20.6932249946548	18.1970647785786	16.2136083411817	6.16	DOWN_pEhEx_UP_CmasM
EHI_065770A	0.51779089803848	2.3440899755654	0.254327382664422	0.938436923597661	39	40	52	20	6.06245041102211	5.37486363497527	4.95417470411564	2.89528720378246	6.16	DOWN_pEhEx_UP_CmasM
EHI_065780A	-0.718743843579062	5.8581308107395	0.25080198946462	0.938436923597661	126	503	861	425	19.5863782509945	67.588910209814	82.0297003892994	61.5248530803772	6.16	UP_pEhEx_DOWN_CmasM
EHI_067220A	1.14081751424819	1.8584271602234	0.251173662761343	0.938436923597661	19	47	40	2	2.95350148229282	6.31546477109594	3.81090361855049	0.289528720378246	6.16	DOWN_pEhEx_UP_CmasM
EHI_074020A	0.636726409842506	2.09931109636517	0.257028525540029	0.938436923597661	44	23	40	17	6.83968764320443	3.09054659011078	3.81090361855049	2.46099412321509	6.16	DOWN_pEhEx_UP_CmasM
EHI_081680A	0.698229675951144	0.903343558636166	0.255383758115203	0.938436923597661	12	16	10	11	1.86536935723757	2.14994545399011	0.952725904637623	1.59240796208035	6.16	DOWN_pEhEx_UP_CmasM
EHI_085950A	0.764476672855522	1.14832273753445	0.25711536753931	0.938436923597661	13	22	22	5	2.02081680367404	2.9561749992364	2.09599699020277	0.723821800945614	6.16	DOWN_pEhEx_UP_CmasM
EHI_087580A	0.572656656001507	2.72628143284562	0.257009726891985	0.938436923597661	64	40	53	36	9.94863657193372	5.37486363497527	5.0494472945794	5.21151696680842	6.16	DOWN_pEhEx_UP_CmasM
EHI_092450A	0.483029973059895	8.5982974525399	0.257255936935102	0.938436923597661	3056	3186	3227	2340	475.047396309835	428.10788852578	307.444649426561	338.748602842547	6.16	DOWN_pEhEx_UP_CmasM
EHI_096650A	0.527087606002075	11.1663459244164	0.252703271005603	0.938436923597661	20610	16542	21942	11572	3203.77187105553	2222.77485624402	2090.47117995587	1675.21317610853	6.16	DOWN_pEhEx_UP_CmasM
EHI_098360A	0.509246115265485	3.74876499805047	0.255018432610036	0.938436923597661	96	120	141	57	14.9229548579006	16.1245909049258	13.4334352553905	8.25156853078	6.16	DOWN_pEhEx_UP_CmasM
EHI_107120A	0.494305376727758	3.45706001723083	0.250535671350833	0.938436923597661	92	81	106	53	14.3011650721547	10.8840988608249	10.0988945891588	7.67251109002351	6.16	DOWN_pEhEx_UP_CmasM
EHI_107250A	-0.457013844309638	4.70737587386135	0.256046533766013	0.938436923597661	156	144	297	218	24.2498016440884	19.349509085911	28.2959593677374	31.5586305212288	6.16	UP_pEhEx_DOWN_CmasM
EHI_110000A	-0.506111999671845	4.19695045102429	0.257158400825729	0.938436923597661	118	86	238	136	18.3427986795028	11.5559568151968	22.6748765303754	19.6879529857207	6.16	UP_pEhEx_DOWN_CmasM
EHI_110460A	0.441291975491835	5.87413588822405	0.252580213353957	0.938436923597661	437	496	555	319	67.9305340927349	66.6483090736934	52.8762877073881	46.1798309003302	6.16	DOWN_pEhEx_UP_CmasM
EHI_118070A	-0.465533166663799	3.52618848474523	0.25015397848892	0.938436923597661	61	70	127	97	9.48229423262432	9.40601136120672	12.0996189888978	14.0421429383449	6.16	UP_pEhEx_DOWN_CmasM
EHI_118870A	-0.627537395796018	2.25176863920109	0.252193988916036	0.938436923597661	13	37	54	40	2.02081680367404	4.97174886235213	5.14471988504317	5.79057440756491	6.16	UP_pEhEx_DOWN_CmasM
EHI_142210A	-0.521897738858106	8.25672950403941	0.257284495740801	0.938436923597661	1302	2228	3306	2802	202.392575260277	299.379904468123	314.971184073198	405.629737249922	6.16	UP_pEhEx_DOWN_CmasM
EHI_149860A	-0.492742793130009	2.9975804919485	0.249397851679246	0.938436923597661	40	49	88	67	6.21789785745857	6.58420795284471	8.38398796081109	9.69921213267122	6.16	UP_pEhEx_DOWN_CmasM
EHI_152920A	-0.475168076008672	3.37523032166714	0.257234172205173	0.938436923597661	49	69	131	76	7.61692487538675	9.27163977033234	12.4807093507529	11.0020913743733	6.16	UP_pEhEx_DOWN_CmasM
EHI_153240A	-0.487152840644219	2.55678266629808	0.256572550164174	0.938436923597661	28	37	65	48	4.352528500221	4.97174886235213	6.19271838014455	6.94868928907789	6.16	UP_pEhEx_DOWN_CmasM
EHI_153530A	0.500966556049495	3.55405295651452	0.255043152726573	0.938436923597661	82	106	120	52	12.7466906077901	14.2433886326845	11.4327108556515	7.52774672983438	6.16	DOWN_pEhEx_UP_CmasM
EHI_155270A	-0.95033881952808	5.20115937583239	0.253687787587037	0.938436923597661	38	326	490	342	5.90700296458564	43.8051386250485	46.6835693272435	49.50941118468	6.16	UP_pEhEx_DOWN_CmasM
EHI_155760A	0.804005658206126	0.330615800153777	0.251839387611499	0.938436923597661	9	9	9	4	1.39902701792818	1.20934431786944	0.857453314173861	0.579057440756491	6.16	DOWN_pEhEx_UP_CmasM
EHI_159840A	0.68947078970828	1.27308387665401	0.25177921101665	0.938436923597661	22	15	22	8	3.41984382160222	2.01557386311573	2.09599699020277	1.15811488151298	6.16	DOWN_pEhEx_UP_CmasM
EHI_164820A	0.91895395149965	0.721152348124864	0.253425378925855	0.938436923597661	8	18	6	10	1.24357957149171	2.41868863573887	0.571635542782574	1.44764360189123	6.16	DOWN_pEhEx_UP_CmasM
EHI_164870A	0.515821099111569	12.1672467772736	0.251740629028896	0.938436923597661	40897	33253	38367	27051	6357.33421691208	4468.25851134582	3655.32347832317	3916.02070747596	6.16	DOWN_pEhEx_UP_CmasM
EHI_167460A	0.677940788732534	1.29543697809248	0.250776580969343	0.938436923597661	18	20	24	7	2.79805403585636	2.68743181748764	2.2865421711303	1.01335052132386	6.16	DOWN_pEhEx_UP_CmasM
EHI_168370A	-0.482187012458153	3.53922669987619	0.249752347306485	0.938436923597661	56	76	125	101	8.705057000442	10.212240906453	11.9090738079703	14.6212003791014	6.16	UP_pEhEx_DOWN_CmasM
EHI_171450A	0.826569218255682	0.497734441309058	0.249893138953202	0.938436923597661	9	12	11	4	1.39902701792818	1.61245909049258	1.04799849510139	0.579057440756491	6.16	DOWN_pEhEx_UP_CmasM
EHI_182850A	-0.681466762348281	11.1181177528097	0.256417823576566	0.938436923597661	5586	18946	27582	19672	868.32943579409	2545.80416070604	2627.80859017149	2847.80449364042	6.16	UP_pEhEx_DOWN_CmasM
EHI_183480A	-0.574417500489497	9.06086341261232	0.2543786789604	0.938436923597661	1941	4138	5806	5003	301.723493533177	556.029643038192	553.152660232604	724.256094026181	6.16	UP_pEhEx_DOWN_CmasM
EHI_185250A	0.529585315638941	4.17003240312229	0.251137825406658	0.938436923597661	145	145	196	71	22.5398797332873	19.4838806767854	18.6734277308974	10.2782695734277	6.16	DOWN_pEhEx_UP_CmasM
EHI_187080A	0.451921217503804	3.94710790951398	0.256639520680722	0.938436923597661	109	135	134	89	16.9437716615746	18.1401647680415	12.7665271221442	12.8840280568319	6.16	DOWN_pEhEx_UP_CmasM
EHI_189130A	0.504746157382421	2.56313545550621	0.256269864299831	0.938436923597661	47	45	58	26	7.30602998251382	6.04672158934718	5.52581024689822	3.76387336491719	6.16	DOWN_pEhEx_UP_CmasM
EHI_119890A	0.502906438441554	5.53917804215936	0.257943427851129	0.938997828046438	355	397	512	191	55.1838434849448	53.3455215771296	48.7795663174463	27.6499927961224	6.1	DOWN_pEhEx_UP_CmasM
EHI_197210A	0.979487166449672	0.288143167934635	0.25796200005231	0.938997828046438	11	7	10	2	1.70992191080111	0.940601136120672	0.952725904637623	0.289528720378246	6.1	DOWN_pEhEx_UP_CmasM
EHI_037540A	-0.633459840043784	1.60053556202432	0.258164000456298	0.938998381644019	14	16	45	16	2.1762642501105	2.14994545399011	4.28726657086931	2.31622976302596	6.1	UP_pEhEx_DOWN_CmasM
EHI_099210A	0.541973590272011	3.3422984529508	0.258501821431935	0.939375261000227	91	70	103	43	14.1457176257183	9.40601136120672	9.81307681776752	6.22486748813228	6.06	DOWN_pEhEx_UP_CmasM
EHI_118640A	-0.611586131037643	1.18931452709263	0.258838562148676	0.939375261000227	10	12	24	18	1.55447446436464	1.61245909049258	2.2865421711303	2.60575848340421	6.06	UP_pEhEx_DOWN_CmasM
EHI_163480A	-0.484549242913867	4.96424114615823	0.258873405976417	0.939375261000227	131	232	345	272	20.3636154831768	31.1742090828566	32.869043709998	39.3759059714414	6.06	UP_pEhEx_DOWN_CmasM
EHI_004470A	0.706451177270311	0.932589156292849	0.261876524793028	0.941804343455522	12	17	18	5	1.86536935723757	2.28431704486449	1.71490662834772	0.723821800945614	5.82	DOWN_pEhEx_UP_CmasM
EHI_007350A	0.50417682462394	9.74851407370733	0.263186940346556	0.941804343455522	7632	6185	7372	4974	1186.3749112031	831.088289558051	702.349536898856	720.057927580697	5.82	DOWN_pEhEx_UP_CmasM
EHI_014230A	-0.956337910009215	0.780150677888661	0.260412604750792	0.941804343455522	3	11	11	20	0.466342339309393	1.4780874996182	1.04799849510139	2.89528720378246	5.82	UP_pEhEx_DOWN_CmasM
EHI_022960A	-0.503315684992514	7.55018749013332	0.262929935477044	0.941804343455522	837	1336	1987	1725	130.109512667321	179.520445408174	189.306637251496	249.718521326237	5.82	UP_pEhEx_DOWN_CmasM
EHI_030810A	-0.531292163033723	6.74043337827294	0.260338669997419	0.941804343455522	388	849	1314	877	60.3136092173482	114.08148065235	125.188183869384	126.958343885861	5.82	UP_pEhEx_DOWN_CmasM
EHI_033850A	-0.582649084975281	2.07416360570452	0.261527590272587	0.941804343455522	27	16	49	33	4.19708105378454	2.14994545399011	4.66835693272435	4.77722388624105	5.82	UP_pEhEx_DOWN_CmasM
EHI_064690A	0.509271524777028	1.96009741152065	0.263104565732173	0.941804343455522	24	36	34	19	3.73073871447514	4.83737727147774	3.23926807576792	2.75052284359333	5.82	DOWN_pEhEx_UP_CmasM
EHI_065330A	-0.578903282110832	7.18815454592704	0.260000836672507	0.941804343455522	679	952	1178	1635	105.548816130359	127.921754512411	112.231111566312	236.689728909216	5.82	UP_pEhEx_DOWN_CmasM
EHI_096660A	-0.68090063001104	1.64613524348288	0.262326610988856	0.941804343455522	8	23	32	28	1.24357957149171	3.09054659011078	3.04872289484039	4.05340208529544	5.82	UP_pEhEx_DOWN_CmasM
EHI_104380A	0.505856296008956	5.11250872196072	0.261425043155042	0.941804343455522	224	341	373	146	34.820228001768	45.8207124881642	35.5366762429834	21.1355965876119	5.82	DOWN_pEhEx_UP_CmasM
EHI_114420A	0.547758847566918	2.31854148153887	0.261824900338366	0.941804343455522	32	47	51	19	4.97431828596686	6.31546477109594	4.85890211365188	2.75052284359333	5.82	DOWN_pEhEx_UP_CmasM
EHI_128100A	-0.568736031027444	8.39043796390293	0.261179039023532	0.941804343455522	1288	2529	3275	3379	200.216311010166	339.825753321311	312.017733768822	489.158773079046	5.82	UP_pEhEx_DOWN_CmasM
EHI_154440A	-0.805325481373932	0.349241644779845	0.261832831258694	0.941804343455522	6	4	12	10	0.932684678618786	0.537486363497527	1.14327108556515	1.44764360189123	5.82	UP_pEhEx_DOWN_CmasM
EHI_165350A	-0.503040859450503	10.4920151891024	0.260950802251541	0.941804343455522	6715	9964	15793	12933	1043.82960282086	1338.87853147234	1504.6400211942	1872.23747032592	5.82	UP_pEhEx_DOWN_CmasM
EHI_166940A	0.528350919005762	1.86067513835951	0.262823697294727	0.941804343455522	24	32	36	14	3.73073871447514	4.29989090798022	3.42981325669544	2.02670104264772	5.82	DOWN_pEhEx_UP_CmasM
EHI_171440.mRNA	0.802021335896109	1.63577061125733	0.262419942919068	0.941804343455522	29	21	35	5	4.50797594665747	2.82180340836202	3.33454066623168	0.723821800945614	5.82	DOWN_pEhEx_UP_CmasM
EHI_178870A	-0.508870271600904	1.83908732749912	0.26217417464881	0.941804343455522	16	22	42	26	2.48715914298343	2.9561749992364	4.00144879947802	3.76387336491719	5.82	UP_pEhEx_DOWN_CmasM
EHI_197550A	0.529475360880565	1.87862066205198	0.260980771789236	0.941804343455522	30	26	30	19	4.66342339309393	3.49366136273393	2.85817771391287	2.75052284359333	5.82	DOWN_pEhEx_UP_CmasM
EHI_006200A	1.58577463236298	2.58762618099977	0.264070384146204	0.943514152878755	80	37	60	0	12.4357957149171	4.97174886235213	5.71635542782574	0	5.65	DOWN_pEhEx_UP_CmasM
EHI_131000A	0.465138599161338	5.1712815218734	0.263959599724762	0.943514152878755	269	307	378	166	41.8153630914089	41.2520783984352	36.0130391953022	24.0308837913944	5.65	DOWN_pEhEx_UP_CmasM
