logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_000130A	-1.95029798504781	4.60575732068694	0.000123295962568325	0.00989293367455002	59	68	236	368	9.11768026830199	10.6095534887493	22.3421551021147	54.1854734144517	99.01	UP_pEhEx_DOWN_U2AF84
EHI_116040A	-2.93131763586114	1.05282274785334	0.000129458058585494	0.0100467942515365	5	0	28	24	0.772684768500168	0	2.65076416465768	3.53383522268163	99	UP_pEhEx_DOWN_U2AF84
EHI_155380A	-1.68990691685203	2.26678079236004	0.000128112631660651	0.0100467942515365	10	17	68	49	1.54536953700034	2.65238837218734	6.43757011416864	7.21491357964167	99	UP_pEhEx_DOWN_U2AF84
EHI_047920A	-2.89210770847716	0.773277682200722	0.000140471834187001	0.0105554549689089	0	4	26	16	0	0.624091381691138	2.46142386718213	2.35589014845442	98.94	UP_pEhEx_DOWN_U2AF84
EHI_134840A	-2.28280949458543	2.65569427340267	0.00013865369862496	0.0105554549689089	8	18	69	91	1.23629562960027	2.80841121761012	6.53224026290642	13.3991252193345	98.94	UP_pEhEx_DOWN_U2AF84
EHI_044220A	2.49522051869377	1.28313210325772	0.000156119136831133	0.0115479374024779	34	16	9	3	5.25425642580114	2.49636552676455	0.852031338639967	0.441729402835204	98.85	DOWN_pEhEx_UP_U2AF84
EHI_118670A	-1.88481387028968	3.69461252133703	0.000163237679809684	0.0117085935790764	28	41	138	182	4.32703470360094	6.39693666233417	13.0644805258128	26.7982504386691	98.83	UP_pEhEx_DOWN_U2AF84
EHI_169350A	-3.13288807623425	7.57251519752038	0.000163125960150674	0.0117085935790764	153	347	1248	3834	23.6441539161051	54.1399273617062	118.148345624742	564.530176823391	98.83	UP_pEhEx_DOWN_U2AF84
EHI_048300A	-1.89656020283776	2.80248245051281	0.000166298574623075	0.0117501112278454	15	21	78	93	2.3180543055005	3.27647975387848	7.38427160154639	13.6936114878913	98.82	UP_pEhEx_DOWN_U2AF84
EHI_115360A	-1.64043585251894	3.06685850851668	0.000171794066553362	0.011959898692112	19	31	107	97	2.93620212030064	4.83670820810632	10.1297059149418	14.2825840250049	98.8	UP_pEhEx_DOWN_U2AF84
EHI_153250A	-2.32416292343266	1.95157787405645	0.000181031688635988	0.0124203480290256	10	5	42	54	1.54536953700034	0.780114227113923	3.97614624698652	7.95112925103368	98.76	UP_pEhEx_DOWN_U2AF84
EHI_157010A	1.06519588473093	6.79258816196819	0.000196570693443249	0.0132937951822906	1009	921	787	466	155.927786283334	143.697040634385	74.5054070566283	68.6153005737351	98.67	DOWN_pEhEx_UP_U2AF84
EHI_148190A	-1.61846711676592	7.32532081039747	0.000201682236424909	0.0133825189638468	440	572	1695	2191	67.9962596280148	89.2450675818328	160.465902110527	322.609707203978	98.66	UP_pEhEx_DOWN_U2AF84
EHI_201940A	-1.19331599258435	4.24804326277374	0.000203536410096529	0.0133825189638468	77	69	246	195	11.8993454349026	10.7655763341721	23.2888565894924	28.7124111842883	98.66	UP_pEhEx_DOWN_U2AF84
EHI_013340A	-1.32207470596592	3.3634771816692	0.000209303713335174	0.0134816474517794	40	33	136	106	6.18147814800135	5.14875389895189	12.8751402283373	15.6077722335106	98.65	UP_pEhEx_DOWN_U2AF84
