NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_CmasM_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_CmasM_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_012020A	1416.17291521255	1427.12630187566	5591.5524070151	961.265425531947	1127.60979118446	242.928895133256	2027.91530129155	2060.19049676421	2939.81166310508	1336.82262507459	1619.74493259835	118.573430078779
EHI_012260A	11.9726258756731	20.5379224970664	40.3229613169779	9.33102032466808	6.79329950737664	3.34901942567636	16.8345459238762	30.9716834146068	16.456960963947	12.208425799768	8.48668752109911	0
EHI_012420A	75.1836888823692	64.3182607900559	41.8035987742943	162.936906643369	172.886936657732	294.339373520172	40.1439172030894	34.4129815717853	81.5367611395556	86.2220072108612	94.5659466636758	555.6676429182
EHI_012570A	118.591801610309	123.935152314139	91.7128666209371	220.539414615159	319.150879138161	355.723239094377	81.5827994772463	86.0324539294633	130.159600351217	148.790189434672	223.078643411748	480.493638227733
EHI_013220A	539.503556425261	1210.20145115922	823.667486754078	1655.79635938649	2618.88177456187	2030.07261693559	431.223368665445	977.328676638703	982.181352075565	1289.51497510049	2107.12327309575	2276.91985340819
EHI_013340A	56.9170972602733	67.2453967053621	54.4946387562459	134.972554136619	161.437880706006	166.6285189686	44.0288124162916	52.7665717434041	62.8356691350704	103.771619298028	128.512696748072	184.447557900323
EHI_013550A	45.1237831892325	45.6009727154115	444.608201370394	25.7458498689341	67.3184345187829	4.52356343137101	94.5324501879203	96.3563484009988	129.411556671038	51.1227830365283	143.061303927099	0
EHI_013900A	35258.0884194012	26771.0499303756	49764.717866892	18958.0126173118	16301.2180734765	10091.3697499963	45231.8349673132	34621.7536599875	30627.9004412657	23631.6972152883	20982.7287039518	5833.34776603249
EHI_014250A	197.013409493189	279.12853662455	657.026876995812	64.9312864293606	140.641093978965	31.7463974283028	283.597350563761	406.073182547067	338.115743441093	89.2741136608032	202.468116574793	13.9498153033858
EHI_014400A	645.356849194579	680.698364682078	481.191239280152	1057.75060773272	1255.62952269333	1632.41868019032	406.619032315164	432.456468418769	802.650868832506	648.572620612673	795.323859120145	2563.66605686668
