NOISeq_U2AF84_1	NOISeq_U2AF84_2	NOISeq_U2AF84_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_U2AF84_1	DESeq2_U2AF84_2	DESeq2_U2AF84_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_134810A	243.033657992646	446.854821765907	440.989645816167	913.851915504265	1112.13624959685	767.474319105724	195.02799553707	366.38155873137	532.817689497882	701.40106228196	870.143912066729	839.734030595327
EHI_134840A	17.307613694914	35.7715730979154	44.5596206422014	80.6129610930152	162.820602112202	67.7429498200275	8.08406199117389	18.629570782951	89.5888150483164	40.9794016066514	85.7888364009451	124.3838120404
EHI_135060A	455.218961234128	1025.37047598233	1327.29567031388	1806.81819686904	3380.97039614378	1343.43464943549	284.96318518888	655.139905867111	2296.30278571211	1079.12424230849	2058.93207362268	2101.3412670051
EHI_140550A	988.979977010188	2089.14141063877	1224.10332703586	2384.39903311915	3257.27492429974	3194.82119795048	1083.2643068173	2330.76630017809	964.258561967405	2484.30198435685	3458.89275555019	2277.8860324818
EHI_146950A	107.018084723442	99.7339214469228	50.6089834160223	153.511014435606	181.749642932086	328.021164943782	134.397530603266	127.302067016832	30.6488051481082	184.110355044376	222.485333962891	187.435513996363
EHI_148400A	5.9520935907933	2.56260051579551	11.6316542006551	42.2631686265808	44.9074505719599	12.8348904299547	2.02101549779347	0	18.8608031680666	22.5683661022138	24.5110961145557	18.9155105867889
EHI_148470A	206.514916756252	303.067617326881	332.967387081898	442.201808575522	1106.97903325255	536.237201894569	163.702255321271	245.289348642188	407.86486850944	334.962065306542	856.945629543506	594.978787548089
EHI_151360A	23.1461262560053	19.3897852528333	21.6863883088457	38.3228288472717	80.9966470182993	53.3487312656666	22.2311704757282	18.629570782951	16.5032027720583	36.2281666377642	80.1324296052784	38.9774157545954
EHI_152080A	3278.65263332903	4230.0316639396	2139.15598492644	4273.24908553971	6352.53481599455	8746.66524584575	3924.81209671492	5153.14627379517	1490.00345027726	4861.10727754263	7364.64164795805	5513.01154011321
EHI_152800A	76.6572678759831	225.367112601974	195.515870877021	390.308893769644	1139.35462898356	430.035483691697	90.9456974007063	276.33863328044	132.025622176466	448.397800188721	1337.74020717518	264.243950924536
EHI_155680A	118.075328785159	134.795903851279	246.53205651783	417.305273271685	734.748061870385	287.264268071677	95.99823614519	111.777424697706	287.627248313016	326.647404110989	587.323572283393	303.221366679132
EHI_160740A	244.784341568388	494.4884800952	266.997183677281	599.102000163174	910.056287345237	934.574503840011	276.879123197706	571.306837343831	198.038433264699	646.761860139758	1002.12673729895	630.517019559632
EHI_160980A	5009.40889430887	6237.9432184826	3338.84840833684	8388.90956131502	10524.2207494215	14395.5484690152	8669.1459777851	10985.2369050135	1381.55383206088	13795.8046365348	17636.6763888888	5389.77412265383
EHI_166490A	351.129743978551	507.774676104312	403.879505807063	552.103802296594	1162.19018163796	843.146653463443	308.204863413505	454.354531873083	431.440872469524	461.463696353161	991.756658173563	816.232941684468
EHI_167060A	343.954350853255	387.937878443685	194.179501817349	531.795189265377	610.190467887419	1077.40677408273	308.204863413505	353.961844876069	200.396033660708	453.742939528719	530.759504326726	1013.41280961948
EHI_168290A	30.1003283216563	38.2821875546033	21.290620348895	66.8495249131021	79.3078376806349	114.00515539133	32.3362479646956	42.434022338944	14.14560237605	70.6746201621958	85.7888364009451	75.088845056647
EHI_170050A	177.282972932711	288.940591537717	98.7116649830303	337.71240288841	440.314069502583	803.487597514671	328.415018391439	546.46740963323	35.3640059401249	596.873892966444	793.782420325228	268.829529248607
EHI_174180A	190.527018894228	388.532641909661	238.308154316352	583.824959567587	690.408809946606	674.738872588517	290.015723933363	604.4260742913	115.522419404408	849.283250688572	1023.80963001567	298.062591064553
EHI_174880A	6.98574196260948	10.0702706350708	8.91969036346694	25.0007420794641	43.5018699359807	32.0665200920504	3.03152324669021	5.17488077304195	11.7880019800416	14.2537049066613	26.3965650464446	44.1361913691742
EHI_175070A	49.6537055480935	49.9604967358709	38.1596799891411	80.5792973608127	118.312198548638	122.628246763775	59.6199571849075	61.063593121895	23.5760039600833	93.2429862644096	140.467435425723	71.6496613135945
EHI_177520A	505.393210835695	865.696778047783	960.105400719062	1357.55435631928	2455.44859916981	1249.04486766579	489.08575046602	853.855327551922	898.245750879172	1251.35650993064	2307.81397263202	1056.97580369815
EHI_180390A	5.62925831056071	11.3816922535761	10.5144862962706	7.5607769674176	134.172665446581	20.33780150573	8.08406199117389	19.6645469375594	2.35760039600833	11.2841830511069	250.767367941224	5.1587756145788
EHI_186720A	2819.26492902067	6165.22713917795	4939.12546685728	9409.96508835341	12078.2893359532	8719.51284544788	3258.88749019198	7254.1478676502	3616.55900747677	10339.8751010406	13524.4686484391	5773.8163072947
EHI_188960A	1661.99110948458	2566.29986004358	2153.93238858273	4946.5989302098	7176.199215703	5694.74534923881	1572.35005728332	2471.52305720484	2091.19155125939	4450.12545273389	6579.34383782633	5001.7195569794
EHI_195110A	756.028045288119	231.627019512747	27.826297638793	2.24087122518661	2.26699646455335	21.0111859996813	564.873831633276	174.910970128818	35.3640059401249	0	0	23.501088910859
EHI_202460A	77.4204903576829	144.732397737194	82.0453518731564	191.500419384656	428.983782583523	321.371960494033	190.985964541483	366.38155873137	18.8608031680666	453.742939528719	1039.83611593673	69.9300694420682
