NOISeq	DESeq2
EHI_174670A	1	0
EHI_174880A	1	0
EHI_175040A	1	0
EHI_175050A	1	0
EHI_175230A	1	0
EHI_175460A	1	0
EHI_176820A	1	0
EHI_176850A	1	0
EHI_177420A	1	0
EHI_177520A	1	0
EHI_177630A	1	0
EHI_177640A	1	0
EHI_178340A	1	0
EHI_178460A	1	0
EHI_178470A	1	0
EHI_178590A	1	0
EHI_178850A	1	0
EHI_178870A	1	0
EHI_178960A	1	0
EHI_179080A	1	0
EHI_180000A	1	0
EHI_180420A	1	0
EHI_181520A	1	0
EHI_182510A	1	0
EHI_182590A	1	0
EHI_182620A	1	0
EHI_182900A	1	0
EHI_182950A	1	0
EHI_182980A	1	0
EHI_183470A	1	0
EHI_183900A	1	0
EHI_184220A	1	0
EHI_184480A	1	0
EHI_184520A	1	0
EHI_185240A	1	0
EHI_186830A	1	0
EHI_186950A	1	0
EHI_187020A	1	0
EHI_187040A	1	0
EHI_187060A	1	0
EHI_187120A	1	0
EHI_187160A	1	0
EHI_187780A	1	0
EHI_188180A	1	0
EHI_188240A	1	0
EHI_188760A	1	0
EHI_188810A	1	0
EHI_188820A	1	0
EHI_188880A	1	0
EHI_189150A	1	0
EHI_189490A	1	0
EHI_189500A	1	0
EHI_189540A	1	0
EHI_189950A	1	0
EHI_190440A	1	0
EHI_191770A	1	0
EHI_191800A	1	0
EHI_191910A	1	0
EHI_192420A	1	0
EHI_192520A	1	0
EHI_192540A	1	0
EHI_192590A	1	0
EHI_192810A	1	0
EHI_193350A	1	0
EHI_193470A	1	0
EHI_194040A	1	0
EHI_194320A	1	0
EHI_194560A	1	0
EHI_194840A	1	0
EHI_194870A	1	0
EHI_196560A	1	0
EHI_197120A	1	0
EHI_197410A	1	0
EHI_197990A	1	0
EHI_198550A	1	0
EHI_198660A	1	0
EHI_198870A	1	0
EHI_198970A	1	0
EHI_199110A	1	0
EHI_199130A	1	0
EHI_199170A	1	0
EHI_199580A	1	0
EHI_199640A	1	0
EHI_199700A	1	0
EHI_199720A	1	0
EHI_200080A	1	0
EHI_200720A	1	0
EHI_200730A	1	0
EHI_201940A	1	0
EHI_202700A	1	0
EHI_202710A	1	0
