baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1.1	UmasM_2.1	UmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_000410A	50.3254078023364	0.241339058213885	0.523728954221498	0.460809081240555	0.644935585816512	0.999717028849961	17	36	89	38	21	91	20.3983359805119	24.397576986843	138.93656166351	28.1868053461274	24.6803656746824	65.3528011623436	0.03	DOWN_pEhEx_UP_UmasM
EHI_000430A	22.0004852986226	0.629152736017025	0.580611906694184	1.08360288303286	0.278540911998092	0.999717028849961	26	53	9	35	12	15	31.1974550290181	35.9186550084077	14.0497646626022	25.9615312398542	14.1030660998185	10.7724397520347	0.03	DOWN_pEhEx_UP_UmasM
EHI_000440A	322.477248552104	-0.205955102948249	0.486826429502981	-0.423056536101616	0.672254012688489	0.999717028849961	282	711	84	545	235	422	338.372396853197	481.852145490149	131.131136850954	404.258129306301	276.185044454779	303.064638357242	0.03	UP_pEhEx_DOWN_UmasM
EHI_000480A	16.6441134687683	-0.620807893376673	0.621586711922597	-0.998747047626685	0.317917243317269	0.999717028849961	16	25	3	34	19	16	19.1984338640112	16.9427617964187	4.68325488753405	25.2197732044298	22.329854658046	11.4906024021703	0.03	UP_pEhEx_DOWN_UmasM
EHI_000510A	9004.9637204721	-0.221303679703951	0.393909698543392	-0.561813229078372	0.57424327780331	0.999717028849961	9230	10046	4482	12568	10304	10746	11075.0965353014	6808.2794002729	6996.78280197588	9322.41498921394	12109.8327577108	7717.37583835763	0.03	UP_pEhEx_DOWN_UmasM
EHI_000520A	16.3493238402014	-0.276089706649124	0.681466906466346	-0.405140299593931	0.685374385328483	0.999717028849961	20	31	2	23	17	18	23.9980423300139	21.0090246275592	3.1221699250227	17.0604348147613	19.9793436414096	12.9269277024416	0.03	UP_pEhEx_DOWN_UmasM
EHI_000540A	39.2204905117393	0.0761280293484618	0.584855971695959	0.130165430520794	0.896435544294481	0.999717028849961	32	35	33	44	11	106	38.3968677280223	23.7198665149862	51.5158037628746	32.6373535586739	12.9278105915003	76.1252409143782	0.03	DOWN_pEhEx_UP_UmasM
EHI_000550A	222.610687626412	0.00470537202360114	0.388148619949713	0.0121226040278354	0.99032779831052	0.999717028849961	252	319	91	388	225	171	302.375333358176	216.189640522303	142.058731588533	287.80211774467	264.432489371597	122.805813173195	0.03	DOWN_pEhEx_UP_UmasM
EHI_000560A	38.7373106849706	0.405317021067714	0.510265539843527	0.794325678336038	0.42700585884951	0.999717028849961	56	68	10	63	41	12	67.1945185240391	46.0843120862589	15.6108496251135	46.7307562317376	48.1854758410466	8.61795180162772	0.03	DOWN_pEhEx_UP_UmasM
EHI_000570A	75.1328814812088	0.0534403418069873	0.467721686334428	0.11425671156239	0.909034296877948	0.999717028849961	62	84	55	67	41	189	74.3939312230432	56.9276796359669	85.8596729381243	49.6977883734352	48.1854758410466	135.732740875637	0.03	DOWN_pEhEx_UP_UmasM
EHI_000580A	150.66706629075	0.125684501476067	0.384037423806719	0.327271494090956	0.743462550761963	0.999717028849961	133	196	114	187	100	247	159.586981494593	132.831252483923	177.963685726294	138.708752624364	117.525550831821	177.386174583504	0.03	DOWN_pEhEx_UP_UmasM
