logFC	AveExpr	t	P.Value	adj.P.Val	B	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_013340A	-1.28408684481409	3.17848288575496	-4.08636958731958	0.00520676780245199	0.605148668703839	-1.74571793104343	34	46	136	106	5.28521317883979	6.18109318022156	12.9570723030717	15.345022180047	39.49	UP_pEhEx_DOWN_CmasM
EHI_013900A	0.786082093007617	11.8025319842292	2.66959036171182	0.0336380651189303	0.605148668703839	-3.59907265707298	34929	30182	30971	17307	5429.62385657926	4055.60335577059	2950.68739925318	2505.43678179315	39.49	DOWN_pEhEx_UP_CmasM
EHI_014220A	-1.20622353789679	1.20382961267545	-2.36673465723157	0.0517658607526698	0.605148668703839	-3.73152191390578	6	16	40	22	0.932684678618786	2.14994545399011	3.81090361855049	3.1848159241607	39.49	UP_pEhEx_DOWN_CmasM
EHI_014250A	1.30523411754773	4.68775867316824	3.03811056474056	0.0201600971182265	0.605148668703839	-3.07525583592066	219	354	117	167	34.0429907695857	47.5675431695311	11.1468930842602	24.1756481515835	39.49	DOWN_pEhEx_UP_CmasM
EHI_014320A	-1.08533193632292	1.88676551775281	-2.80492502006533	0.0278216127355116	0.605148668703839	-3.25592274934589	13	22	51	41	2.02081680367404	2.9561749992364	4.85890211365188	5.93533876775403	39.49	UP_pEhEx_DOWN_CmasM
EHI_014400A	-0.818407284191292	6.04671229540899	-2.9125396702588	0.0239586726284438	0.605148668703839	-3.24430018406158	314	377	850	656	48.8104981810498	50.6580897596419	80.981701894198	94.9654202840645	39.49	UP_pEhEx_DOWN_CmasM
EHI_014810A	1.20826560288496	3.3718552901969	2.87402340900122	0.0252714026776523	0.605148668703839	-3.25655372329474	96	125	104	31	14.9229548579006	16.7964488592977	9.90834940823128	4.48769516586281	39.49	DOWN_pEhEx_UP_CmasM
EHI_015220A	1.03123336559304	1.31445917160068	2.48486909558407	0.0437153867699212	0.605148668703839	-3.62734478490842	26	22	16	13	4.04163360734807	2.9561749992364	1.5243614474202	1.8819366824586	39.49	DOWN_pEhEx_UP_CmasM
EHI_015310A	-1.51115120996668	9.71885406092514	-2.42570219432106	0.0475716281968043	0.605148668703839	-3.92073283919322	1597	7449	12746	11539	248.249571959034	1000.93398042327	1214.34443805111	1670.43595222229	39.49	UP_pEhEx_DOWN_CmasM
EHI_015440A	-1.14037460118421	4.99587535453227	-2.95033575469027	0.0227408199060408	0.605148668703839	-3.19253259312859	105	209	401	405	16.3219818758288	28.0836624927458	38.2043087759687	58.6295658765947	39.49	UP_pEhEx_DOWN_CmasM
EHI_016110A	-3.38745893727221	-0.0320771157709058	-2.48025884802041	0.0440038750555409	0.605148668703839	-3.61979287950596	8	0	24	30	1.24357957149171	0	2.2865421711303	4.34293080567368	39.49	UP_pEhEx_DOWN_CmasM
EHI_016370A	0.905140893373765	8.12237923883995	2.97938770145542	0.0218496190423751	0.605148668703839	-3.15755315293762	2797	2492	2381	1260	434.786507682791	334.854004458959	226.844037894218	182.403093838295	39.49	DOWN_pEhEx_UP_CmasM
EHI_017030A	-1.42438500835836	3.40667066953367	-2.44689739537437	0.0461512316021593	0.605148668703839	-3.82342744343381	22	87	142	156	3.41984382160222	11.6903284060712	13.5287078458543	22.5832401895032	39.49	UP_pEhEx_DOWN_CmasM
EHI_017450A	1.41199347194511	1.04495548851884	3.11851717122208	0.0180698451498537	0.605148668703839	-2.82439937888112	25	21	13	8	3.88618616091161	2.82180340836202	1.23854367602891	1.15811488151298	39.49	DOWN_pEhEx_UP_CmasM
EHI_017660A	-2.65216237171609	4.08410584559846	-3.66315956890341	0.00881845223986821	0.605148668703839	-2.24923701590239	20	105	293	452	3.10894892872929	14.1090170418101	27.9148690058824	65.4334908054835	39.49	UP_pEhEx_DOWN_CmasM
