logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_002780A	1.25946482436393	2.6199602194873	2.78370356268888	0.0293094705576713	0.999154291130592	-4.53195577806269	51	110	47	20	8.07838012006184	11.0807484016177	4.81666953120959	3.15195629875179	0.08	DOWN_pEhEx_UP_UmasM
EHI_002790A	-0.324555511191578	2.43510073333257	-0.705330927021896	0.505100690094402	0.999154291130592	-4.60486332539496	25	56	48	47	3.95999025493227	5.64110827718717	4.91915186166085	7.40709730206671	0.08	UP_pEhEx_DOWN_UmasM
EHI_002990A	0.178292204189607	2.92049660766147	0.410467611431754	0.694661447414056	0.999154291130592	-4.612867243027	44	91	83	37	6.9695828486808	9.16680095042916	8.50603342745523	5.83111915269081	0.08	DOWN_pEhEx_UP_UmasM
EHI_003000A	0.333109619942572	3.48026215437858	0.777577163806828	0.464189344025695	0.999154291130592	-4.60379167247189	100	98	100	60	15.8399610197291	9.87193948507756	10.2482330451268	9.45586889625537	0.08	DOWN_pEhEx_UP_UmasM
EHI_003010A	-0.421476969195038	6.98318167061192	-1.00596556643273	0.350423993596846	0.999154291130592	-4.59532600285465	606	1241	1226	1076	95.9901637795583	125.010988785523	125.643337133254	169.575248872846	0.08	UP_pEhEx_DOWN_UmasM
EHI_003020A	0.629069586985208	0.660545847670879	0.752160559546753	0.478316069035313	0.999154291130592	-4.60040467105626	5	40	14	7	0.791998050986455	4.0293630551337	1.43475262631775	1.10318470456313	0.08	DOWN_pEhEx_UP_UmasM
EHI_003040A	0.0638064862248616	0.995784138767315	0.121740285175312	0.906784408308546	0.999154291130592	-4.6101689409278	9	26	19	12	1.42559649177562	2.6190859858369	1.94716427857409	1.89117377925107	0.08	DOWN_pEhEx_UP_UmasM
EHI_003240.mRNA	1.77560855533719	2.32471906845863	1.64139211257258	0.148038493177091	0.999154291130592	-4.57233124881265	120	49	74	5	19.0079532236749	4.93596974253878	7.58369245339382	0.787989074687948	0.08	DOWN_pEhEx_UP_UmasM
EHI_003260A	-0.395985211296982	7.12767687720609	-0.769293631953399	0.468761441442555	0.999154291130592	-4.60376608259578	1155	801	1436	1115	182.951549777871	80.6879951790523	147.164626528021	175.721563655412	0.08	UP_pEhEx_DOWN_UmasM
EHI_003890A	1.17771883368318	1.91471056923156	2.02632377645139	0.0855050334331449	0.999154291130592	-4.56039592626135	49	42	35	10	7.76158089966726	4.23083120789038	3.58688156579437	1.5759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_003900A	0.407410132738479	2.18772324448265	0.851128895984196	0.424957222247774	0.999154291130592	-4.60027701950917	24	69	38	25	3.80159064473498	6.95065127010563	3.89432855714818	3.93994537343974	0.08	DOWN_pEhEx_UP_UmasM
EHI_003930A	0.0697894233446918	4.28248024458007	0.140978579079001	0.892158228648701	0.999154291130592	-4.61873288468216	165	150	137	162	26.135935682553	15.1101114567514	14.0400792718237	25.5308460198895	0.08	DOWN_pEhEx_UP_UmasM
EHI_003940A	-0.0961502207282123	10.4121997021957	-0.212385783049059	0.838315459281139	0.999154291130592	-4.61111178893817	8350	13061	12824	9564	1322.63674514738	1315.68777157753	1314.23340570706	1507.26550206311	0.08	UP_pEhEx_DOWN_UmasM
EHI_003950A	0.957804293637322	1.44130714148864	1.55621725967344	0.166904120406706	0.999154291130592	-4.57810456818211	15	58	24	9	2.37599415295936	5.84257642994386	2.45957593083043	1.41838033443831	0.08	DOWN_pEhEx_UP_UmasM
EHI_004170A	-0.711819157266556	6.84288248070673	-1.55836978800476	0.166400786025917	0.999154291130592	-4.57226283701818	463	1096	1137	1165	73.3390195213457	110.404547710663	116.522409723091	183.601454402292	0.08	UP_pEhEx_DOWN_UmasM
EHI_004190A	0.253948323400939	2.25448258195166	0.500716766353484	0.633084276093642	0.999154291130592	-4.60961245017451	47	36	45	25	7.44478167927267	3.62642674962033	4.61170487030705	3.93994537343974	0.08	DOWN_pEhEx_UP_UmasM
