pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_012480A	7205.96265174238	4460.61536256282	1.21456900078939	0.979500509404298	0.691948424002611	5483.65846167429	4447.29559931089	3443.39781323128	6292.73159681125	5963.77392905402	8922.05672996744	5530.77946142833	4466.75328726844	3359.52510604388	6299.86368259227	6040.14075271873	9266.2980596413	97.95	UP_pEhEx_DOWN_U2AF84
EHI_005020A	1075.00926485005	512.763022987323	1.21249017068999	0.978580477061384	1.06798496019888	428.374561096146	553.841517148043	555.765594565008	874.885520699729	1379.57215350826	937.004194488566	432.055577652726	556.264669641049	542.228510700149	875.877102572594	1397.23773651543	973.156796919049	97.86	UP_pEhEx_DOWN_U2AF84
EHI_030070A	15015.3889423288	9368.80986737177	1.21087851627876	0.97782894051564	0.680504148256564	5340.78229016328	11135.706835883	11622.6642578079	14580.2519340779	19106.6138662029	11041.7042180315	5386.67555699236	11184.4274805896	11339.5647238862	14596.7769686997	19351.2762946094	11467.7282903863	97.78	UP_pEhEx_DOWN_U2AF84
EHI_171300A	8855.46378268966	5927.95018207335	1.25232431902172	0.97672695183303	0.579034543064151	4898.34753701154	7650.34017583686	5210.44861236943	7185.2907156991	9691.32602603061	9287.4799961689	4940.43896825218	7683.81173817997	5083.53489095709	7193.43441433896	9815.42459088423	9645.82051786296	97.67	UP_pEhEx_DOWN_U2AF84
EHI_103310A	1234.74970466629	399.579683752001	1.6693565451745	0.975049881639883	1.62766348599125	279.806533637753	573.796903806481	342.789208006886	962.187449995766	1458.44144346216	1232.74070369509	282.210907231564	576.307364569873	334.439705442969	963.277978540519	1477.1169569647	1280.30376138757	97.5	UP_pEhEx_DOWN_U2AF84
EHI_083270A	2023.73894324874	818.856486201359	1.57687609048372	0.971432324462339	1.3053406677271	374.010650808544	1171.29351600522	907.807923912054	2193.5989004072	2304.21157714816	1526.28669432169	377.22451905142	1176.41812785802	885.695954190719	2196.08509186256	2333.71727627284	1585.17569010134	97.14	UP_pEhEx_DOWN_U2AF84
EHI_083410A	2023.73894324874	818.856486201359	1.57687609048372	0.971432324462339	1.3053406677271	374.010650808544	1171.29351600522	907.807923912054	2193.5989004072	2304.21157714816	1526.28669432169	377.22451905142	1176.41812785802	885.695954190719	2196.08509186256	2333.71727627284	1585.17569010134	97.14	UP_pEhEx_DOWN_U2AF84
EHI_152080A	6460.86438141687	3224.31307202583	1.36161668468605	0.970697749107178	1.0027353596349	3250.71924871189	4211.60516243523	2192.56139131234	4268.41133339501	6272.21832570438	8421.72818305515	3278.65263332903	4230.0316639396	2139.15598492644	4273.24908553971	6352.53481599455	8746.66524584575	97.07	UP_pEhEx_DOWN_U2AF84
EHI_035600A	4560.6405011397	3096.8697917525	1.0718473785674	0.970177078936245	0.558425726216675	2412.36296673006	2969.26809269	3914.71368212887	4542.66408403815	5517.67604816879	3511.80155782523	2433.09236765034	2982.25915449818	3819.36087882451	4547.81267005731	5588.33053621983	3647.29803295479	97.02	UP_pEhEx_DOWN_U2AF84
EHI_096650A	15954.5446684922	20518.0244198357	-1.43706156877587	0.969917640090171	-0.362924391885739	22698.4548465171	18538.4635234684	20331.8625183774	17208.7528491901	13975.3701715222	15990.8358061613	22893.5023486026	18619.5725099068	19836.6283212057	17228.2569865614	14154.3264234247	16607.8131183566	96.99	DOWN_pEhEx_UP_U2AF84
EHI_174880A	33.3250083056416	8.70294012138917	1.05547015806108	0.969223599798573	1.93703045961236	6.92622500887853	10.0264033849534	9.14237617602762	24.9724386992509	42.9518662578394	30.875254557157	6.98574196260948	10.0702706350708	8.91969036346694	25.0007420794641	43.5018699359807	32.0665200920504	96.92	UP_pEhEx_DOWN_U2AF84
EHI_159480A	73051.3331065436	47855.5551016972	1.05309119648716	0.96873915213162	0.610224197525517	53674.6277583474	55739.2300984736	33966.9360656132	47196.5567403123	76146.2928720916	91374.3422389727	54135.8530770058	55983.0988771576	33139.5849905392	47250.0485961244	77121.3550709041	94899.8550240201	96.87	UP_pEhEx_DOWN_U2AF84
EHI_030760A	25564.9811811438	17494.1363143228	1.33353655911897	0.968328351075061	0.547297523562756	17382.4591671292	20892.5429683205	14144.8400318081	20937.5918593935	25321.761514589	29090.2947806763	17531.8263933821	20983.9514597597	13800.3064952989	20961.322205888	25646.0096365782	30212.6908894422	96.83	UP_pEhEx_DOWN_U2AF84
EHI_025830A	1946.25584284874	985.992303230427	1.26489481332	0.968232697127182	0.981053080505211	860.692508339309	1311.40809907403	780.80130747837	1525.16954852874	1896.95281734108	2307.1791010333	868.088426913964	1317.14573647792	761.782906763228	1526.89815237643	1921.24352034651	2396.19740987993	96.82	UP_pEhEx_DOWN_U2AF84
EHI_040830A	13592.7533558148	16376.2534313791	-1.42809140140087	0.968152674562973	-0.268767615301807	15787.6748427271	17433.4748489919	15888.7451112762	12827.9578528392	13664.8629888428	13702.4633692608	15923.3381097924	17509.7493187348	15501.7343333833	12842.4968641404	13839.8431599032	14231.1479935357	96.82	DOWN_pEhEx_UP_U2AF84
EHI_188940A	9879.53856256225	6712.21290311003	1.04975260077557	0.967932334273956	0.557655183317405	6216.29094995167	8741.40037429764	5145.32923331968	8309.51839275323	8912.57346491324	11846.8821317548	6269.70745033566	8779.645513843	5020.00165992378	8318.93627385372	9026.70001201087	12303.9725292891	96.79	UP_pEhEx_DOWN_U2AF84
EHI_134810A	924.742515948578	379.406119961532	1.33094698144534	0.967238398410317	1.28530876935002	240.963065769911	444.908271077954	451.999236240027	912.817342284763	1098.07526718913	738.962784251241	243.033657992646	446.854821765907	440.989645816167	913.851915504265	1112.13624959685	767.474319105724	96.72	UP_pEhEx_DOWN_U2AF84
EHI_167080A	3113.32482992646	6017.40630220851	-1.40528110161042	0.966724966969957	-0.950685663694279	5842.12894196193	4538.45270005548	7696.63552731581	4741.83316305201	2222.19076582749	2299.81751301902	5892.33027349293	4558.3092161057	7509.16440346534	4747.2074842602	2250.64617885657	2388.55178838287	96.67	DOWN_pEhEx_UP_U2AF84
EHI_050550A	10308.4196683182	5426.90664947518	1.26731684250942	0.966509862654218	0.92562117978117	6044.99580326726	6775.04949842529	3432.03478998182	6846.0756673633	9501.41678747329	13872.1538444145	6096.94036687379	6804.6915125648	3348.43885811154	6853.8349048537	9623.0835422842	14407.3856670056	96.65	UP_pEhEx_DOWN_U2AF84
EHI_140550A	2935.68911789358	1441.23956825765	1.50066463115153	0.96516330285646	1.02638903284982	980.554089560065	2080.04087182386	1254.66385469225	2381.69965114881	3216.09248336746	3076.13415700122	988.979977010188	2089.14141063877	1224.10332703586	2384.39903311915	3257.27492429974	3194.82119795048	96.52	UP_pEhEx_DOWN_U2AF84
EHI_049690A	2440.14210767612	1013.05611168172	1.6582504301647	0.964629238227572	1.2682510840286	856.125819780004	1409.79557025287	767.136954754411	2147.97481376596	2124.23993923461	2908.40696810366	863.482496864332	1415.96366987147	748.451384085952	2150.40929557907	2151.44108045674	3020.62256056564	96.46	UP_pEhEx_DOWN_U2AF84
EHI_152800A	645.45481934182	167.079432888379	1.17877582042833	0.964388502532339	1.94978196131497	76.0041651576554	224.385387695563	200.397050469654	389.867024444892	1124.94951863841	414.059741733025	76.6572678759831	225.367112601974	195.515870877021	390.308893769644	1139.35462898356	430.035483691697	96.44	UP_pEhEx_DOWN_U2AF84
EHI_197480A	19537.2956319873	10450.0537643636	1.17654340297037	0.963979686751655	0.902720417299669	4556.83002133306	12446.7393161247	14346.9635065857	17905.4679667307	28376.2068594834	12104.4123783244	4595.98679738233	12501.1959548378	13997.5067390312	17925.761750364	28739.567511864	12571.4391119742	96.4	UP_pEhEx_DOWN_U2AF84
EHI_004430A	56.8574960230195	5.79193783637595	1.03679397932769	0.963919786081089	3.29523254133257	2.34614046300904	2.34614046300904	12.7633616549499	73.8937005432971	87.4142210664907	10.4742508614489	2.36630081488964	2.35640523359027	12.4524775361591	73.9774505337177	88.5335704055813	10.8783807782395	96.39	UP_pEhEx_DOWN_U2AF84
EHI_064570A	8108.33092748147	5389.84798165258	1.1168418494497	0.963895268057706	0.589160388147853	5550.98467986239	6449.21757142988	4148.60501144548	6682.82847330676	7337.70669065407	9829.17069701717	5598.68421285894	6477.4340144958	4047.55519024151	6690.40268892333	7431.66688425205	10208.4113690662	96.39	UP_pEhEx_DOWN_U2AF84
EHI_083560A	501.83676880064	55.5592365216422	1.11895549436611	0.963813100735857	3.17511949915885	83.66703034676	76.1634803464603	6.29778157928929	63.1856677091489	150.761569538276	1215.35533240789	84.3859799574889	76.4967087548828	6.14438309936336	63.2572813788724	152.692089094065	1262.24760717331	96.38	UP_pEhEx_DOWN_U2AF84
EHI_193080A	8205.54868452493	5054.00211975489	1.12601580245148	0.963685297767217	0.699173536995321	5235.52558410153	6310.53162007577	3591.77378864423	6387.37008404631	7221.60666621483	10485.5286432374	5280.51438154122	6338.1412881016	3504.28700738974	6394.60943164181	7314.08018540172	10890.093692724	96.37	UP_pEhEx_DOWN_U2AF84
EHI_135060A	2152.42171085894	943.706622242921	1.12660526705548	0.963682012065385	1.189550431976	451.340597847928	1020.90384496884	1360.43246125706	1804.77269508994	3338.22404624428	1293.52629044736	455.218961234128	1025.37047598233	1327.29567031388	1806.81819686904	3380.97039614378	1343.43464943549	96.37	UP_pEhEx_DOWN_U2AF84
EHI_134720A	1650.2978421643	942.593889983367	1.12751176478317	0.963677876593448	0.808018187673553	859.269746515351	1165.72595598103	799.218063175652	1316.95889690421	1738.71076541582	1813.71962536229	866.653439317736	1170.82620879513	779.751075558351	1318.45151798272	1760.97516041235	1883.69869794464	96.37	UP_pEhEx_DOWN_U2AF84
EHI_066770A	647.298985050796	273.82716554891	1.12757747621321	0.963677680996561	1.24116666274115	188.903771452694	386.84014930454	244.257670815391	583.164010394315	681.679820010068	649.672443126879	190.527018894228	388.532641909661	238.308154316352	583.824959567587	690.408809946606	674.738872588517	96.37	UP_pEhEx_DOWN_U2AF84
EHI_174180A	647.298985050796	273.82716554891	1.12757747621321	0.963677680996561	1.24116666274115	188.903771452694	386.84014930454	244.257670815391	583.164010394315	681.679820010068	649.672443126879	190.527018894228	388.532641909661	238.308154316352	583.824959567587	690.408809946606	674.738872588517	96.37	UP_pEhEx_DOWN_U2AF84
EHI_025230A	812.41310924013	336.954620995427	1.13858140753808	0.963643664790199	1.26965920833001	242.698833914489	492.334431746096	273.662940264764	598.423755827737	898.550246200522	899.855226755411	244.784341568388	494.4884800952	266.997183677281	599.102000163174	910.056287345237	934.574503840011	96.36	UP_pEhEx_DOWN_U2AF84
EHI_160740A	812.41310924013	336.954620995427	1.13858140753808	0.963643664790199	1.26965920833001	242.698833914489	492.334431746096	273.662940264764	598.423755827737	898.550246200522	899.855226755411	244.784341568388	494.4884800952	266.997183677281	599.102000163174	910.056287345237	934.574503840011	96.36	UP_pEhEx_DOWN_U2AF84
EHI_022970A	740.569469461018	368.817181792813	1.17412079748427	0.96362985503049	1.00572920751677	373.29256066993	372.776356081948	360.186837085154	645.673930328848	775.670322696127	767.234293799568	376.500258374382	374.407317157646	351.4135710386	646.405727289647	785.602872028137	796.836633424	96.36	UP_pEhEx_DOWN_U2AF84
EHI_105140A	9890.37495495354	5538.83828997615	1.14005401360647	0.963627014080035	0.836441797484971	3243.47033302396	5556.08931519459	7829.81476238484	9068.72742730162	14173.7958941264	6300.40347906393	3271.34142781092	5580.39816756233	7639.09971970993	9079.00578431417	14355.2930106474	6543.49308684797	96.36	UP_pEhEx_DOWN_U2AF84
EHI_167270A	9890.37495495354	5538.83828997615	1.14005401360647	0.963627014080035	0.836441797484971	3243.47033302396	5556.08931519459	7829.81476238484	9068.72742730162	14173.7958941264	6300.40347906393	3271.34142781092	5580.39816756233	7639.09971970993	9079.00578431417	14355.2930106474	6543.49308684797	96.36	UP_pEhEx_DOWN_U2AF84
EHI_111050A	1360.95142927253	681.83776380202	1.14156667185312	0.963604281029963	0.99711516877321	645.034210620217	872.444442431613	524.800630366668	970.716832439972	1467.79460621733	1571.66734889129	650.576980486797	876.261537864569	512.017776920757	971.81702805638	1486.58988806444	1632.30727467994	96.36	UP_pEhEx_DOWN_U2AF84
EHI_110400A	14905.0115143101	10264.8343874816	1.14161224290365	0.963603504323512	0.538087138592284	10802.8060926934	11964.655356841	7991.55203892869	11810.0953504064	14418.2586250971	17649.2346503765	10895.6344529559	12017.0027947962	7796.89747373195	11823.4807319097	14602.8861155207	18330.1982653427	96.36	UP_pEhEx_DOWN_U2AF84
