edgeR	limma	NOISeq	DESeq2
EHI_100810A	0	0	0	1
EHI_101290A	1	0	0	0
EHI_105350A	1	0	0	0
EHI_106270A	1	0	0	0
EHI_107170A	0	0	0	1
EHI_109000A	1	0	0	0
EHI_109010A	1	0	0	0
EHI_110730A	1	0	0	0
EHI_111800A	0	0	1	0
EHI_113950A	0	0	1	0
EHI_114000A	1	0	0	0
EHI_114010A	0	0	1	0
EHI_118080A	0	0	1	0
EHI_118290A	1	0	0	0
EHI_122790A	1	0	0	0
EHI_124510A	1	0	0	0
EHI_124880A	1	0	0	0
EHI_125310A	1	0	0	0
EHI_125340A	0	0	1	0
EHI_126130A	1	0	0	0
EHI_126240A	0	0	1	0
EHI_126270A	1	0	0	0
EHI_126530A	1	0	0	0
EHI_130480A	1	0	0	0
EHI_135440A	1	0	0	0
EHI_135580A	1	0	0	0
EHI_136420A	0	0	1	0
EHI_136740A	0	0	1	0
EHI_137010A	1	0	0	0
EHI_137270A	1	0	0	0
EHI_137810A	0	0	1	0
EHI_137880A	0	0	1	0
EHI_138360A	0	0	1	0
EHI_139050A	1	0	0	0
EHI_139300A	1	0	0	0
EHI_140480A	1	0	0	0
EHI_146960A	1	0	0	0
EHI_148170A	1	0	0	0
EHI_153620A	1	0	0	0
EHI_154290A	1	0	0	0
EHI_159330A	1	0	0	0
EHI_159490A	1	0	0	0
EHI_159680A	1	0	0	0
EHI_159780A	1	0	0	0
EHI_161900A	1	0	0	0
EHI_164800A	0	0	1	0
EHI_164840A	0	0	1	0
EHI_165180A	1	0	0	0
EHI_166370A	1	0	0	0
EHI_166860A	1	0	0	0
EHI_168290A	1	0	0	0
EHI_170470A	1	0	0	0
EHI_177420A	1	0	0	0
EHI_179080A	1	0	0	0
EHI_180390A	0	0	1	0
EHI_182530A	1	0	0	0
EHI_192420A	1	0	0	0
EHI_193300A	1	0	0	0
EHI_193390A	0	0	1	0
EHI_198550A	1	0	0	0
EHI_201940A	0	0	1	0
